"시설명","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","설치장소설명","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","동시사용가능대수","공기주입가능여부","휴대전화충전가능여부","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","작업일시"
"역삼주간보호센터","서울특별시","강남구","11680","서울특별시 강남구 테헤란로 8길 36","서울특별시 강남구 역삼동 827-61","37.496458","127.032019","2층 입구","09:00","18:00","00:00","23:59","00:00","23:59","2","Y","Y","역삼주간보호센터","02-518-2270","2022-09-27","3220000","2023-03-15 14:37:55.0"
"삼성2동주민센터","서울특별시","강남구","11680","서울특별시 강남구 봉은사로 419","서울특별시 강남구 삼성동 38-34","37.51120565","127.0459755","삼성2동 문화센터 1층 엘리베이터 앞","09:00","22:00","06:30","22:00","00:00","23:59","2","Y","Y","서울특별시 강남구 삼성2동주민센터","02-3423-8242","2022-09-27","3220000","2023-03-15 14:37:55.0"
"강남구청","서울특별시","강남구","11680","서울특별시 강남구 학동로426","서울특별시 강남구 삼성동 16-1","37.51796636","127.0470611","1층 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","N","Y","서울특별시 강남구 강남구청","02-3423-5888","2022-09-27","3220000","2023-03-15 14:37:55.0"
"압구정동 주민센터","서울특별시","강남구","11680","서울특별시 강남구 압구정로 201","서울특별시 강남구 압구정동 458","37.53153399","127.0292754","1층 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","Y","Y","서울특별시 강남구 압구정동 주민센터","02-3423-7617","2022-09-27","3220000","2023-03-15 14:37:55.0"
"청담동 주민센터","서울특별시","강남구","11680","서울특별시 강남구 압구정로79길 26","서울특별시 강남구 청담동 124-1","37.52509058","127.049244","1층 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","Y","Y","서울특별시 강남구 청담동 주민센터","02-3423-7705","2022-09-27","3220000","2023-03-15 14:37:55.0"
"수서역","서울특별시","강남구","11680","서울특별시 강남구 광평로 지하270","서울특별시 강남구 수서동 728","37.48738773","127.101893","상가(미샤) 공중전화 부근","05:30","00:30","05:30","00:30","05:30","00:30","2","N","Y","수서역","02-6110-3491","2022-09-27","3220000","2023-03-15 14:37:55.0"
"선릉역","서울특별시","강남구","11680","서울특별시 강남구 테헤란로 지하340","서울특별시 강남구 삼성동 172-66","37.50450288","127.0489425","게이트 나와 화장실 사이","05:30","00:30","05:30","00:30","05:30","00:30","2","N","Y","선릉역","02-6110-2201","2022-09-27","3220000","2023-03-15 14:37:55.0"
"굿잡자립센터","서울특별시","강남구","11680","서울특별시 강남구 테헤란로8길 36","서울특별시 강남구 역삼동 827-61","37.49649864","127.032067","보조공학 서비스센터 안쪽","09:00","18:00","00:00","23:59","00:00","23:59","1","Y","Y","굿잡자립센터","02-518-2209","2022-09-27","3220000","2023-03-15 14:37:55.0"
"논현노인 종합복지관","서울특별시","강남구","11680","서울특별시 강남구 강남대로128길 59","서울특별시 강남구 논현동 125-13","37.51206587","127.0260872","1층 주차장 내부","09:00","18:00","00:00","23:59","00:00","23:59","2","N","Y","논현노인종합복지관","02-541-0226","2022-09-27","3220000","2023-03-15 14:37:55.0"
"강남노인종합복지관","서울특별시","강남구","11680","서울특별시 강남구 삼성로628","서울특별시 강남구 삼성동 66","37.51590994","127.0521409","1층 카페 통로측","09:00","18:00","00:00","23:59","00:00","23:59","2","N","Y","강남노인종합복지관","070-8031-2387","2022-09-27","3220000","2023-03-15 14:37:55.0"
"수서명화종합사회복지관","서울특별시","강남구","11680","서울특별시 강남구 광평로51길 49","서울특별시 강남구 수서동 707","37.49213604","127.0997527","1층 주출입구 좌측 내부","00:00","18:00","00:00","23:59","00:00","23:59","2","N","Y","수서명화종합사회복지관","02-459-2696","2022-09-27","3220000","2023-03-15 14:37:55.0"
"강남세움복지관","서울특별시","강남구","11680","서울특별시 강남구 광평로60길 22","서울특별시 강남구 수서동 721","37.48698084","127.106951","1층 외부","09:00","18:00","09:00","18:00","00:00","23:59","1","N","N","강남세움복지관","02-2184-8700","2022-09-27","3220000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로 327","","37.5170318506","126.9172249320","신길역 환승엘리베이터 앞","06:00","22:00","06:00","22:00","06:00","22:00","2","N","N","서울특별시 영등포구","02-2639-3553","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 신풍로 27 (신길동, 신풍역)","서울특별시 영등포구 신길동 3599","37.5001008","126.909826","신풍역(지하 1층 고객안전실 맞은편)","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","Y","서울특별시 영등포구","02-6311-7431","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로11길 12","서울특별시 영등포구 양평동1가 211-1","37.523646","126.888228","양평1동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7382","2022-11-23","3180000","2023-03-15 14:37:55.0"
