상호명,지점명,도로명주소,경도,위도,단차/계단,확인불가
세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡로31길 22,126.8404758,37.5444787,1,0
GS25,화곡행운점,서울특별시 강서구 강서로 47-6,126.8371541,37.5449945,1,0
CU,화곡삼성점,서울특별시 강서구 국회대로7길 101,126.8531846,37.5292814,1,0
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,126.8418415,37.5430674,1,0
GS25,마곡12단지점,서울특별시 강서구 공항대로 140,126.8225462,37.55931425,1,0
CU,마곡한솔점,서울특별시 강서구 양천로30길 77,126.8233438,37.56964145,1,0
GS25,강서한빛점,서울특별시 강서구 양천로30길 32,126.8232718,37.5685205,1,0
GS25,방화5단지점,서울특별시 강서구 금낭화로 287-19,126.8122948,37.5761896,1,0
CU,방화해피점,서울특별시 강서구 양천로24가길 23,126.8137232,37.5715921,1,0
GS25,방화행복점,서울특별시 강서구 양천로24길 93,126.8134114,37.570935,1,0
CU,방화행운점,서울특별시 강서구 방화대로45길 52,126.8138593,37.5744543,1,0
미니스톱,가양대교점,서울특별시 강서구 양천로 492,126.8546068,37.5608976,1,0
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,126.8538698,37.5583189,1,0
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,126.8544582,37.55926865,1,0
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,126.8587021,37.535572,1,0
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,126.8525348,37.5638076,1,0
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,126.8589126,37.557558,1,0
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,126.856133,37.5575077,1,0
CU,우장산역점,서울특별시 강서구 강서로 251,126.838587,37.5596089,1,0
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,126.8388087,37.5578472,1,0
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,126.8413965,37.5615994,1,0
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,126.8379486,37.5603203,1,0
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,126.84331,37.56251,1,0
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,126.838934,37.5596199,1,0
