상호명,지점명,도로명주소,경도,위도,단차/계단,확인불가
미니스톱,가양대교점,서울특별시 강서구 양천로 492,126.8546068,37.5608976,1,0
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,126.8538698,37.5583189,1,0
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,126.8544582,37.55926865,1,0
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,126.853233,37.5575476,1,0
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,126.8525348,37.5638076,1,0
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,126.8589126,37.557558,1,0
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,126.856133,37.5575077,1,0
CU,우장산역점,서울특별시 강서구 강서로 251,126.838587,37.5596089,1,0
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,126.8388087,37.5578472,1,0
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,126.8413965,37.5615994,1,0
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,126.8379486,37.5603203,1,0
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,126.84331,37.56251,1,0
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,126.838934,37.5596199,1,0
