상호명_x,지점명_x,도로명주소,단차/계단,확인불가,상호명_y,지점명_y,경도,위도,,
미니스톱,가양대교점,서울특별시 강서구 양천로 492,1,0,미니스톱,가양대교점,126.8546068,37.5608976,,기존 그룹4
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,1,0,세븐일레븐,강서등마루점,126.8538698,37.5583189,,
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,1,0,세븐일레븐,등촌스타점,126.8544582,37.55926865,,
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,1,0,세븐일레븐,강서화곡로점,126.853233,37.5575476,,
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,1,0,GS25,강서트레벨점,126.8525348,37.5638076,,
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,1,0,CU,등촌원룸점,126.8589126,37.557558,,
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,1,0,미니스톱,등촌청림점,126.856133,37.5575077,,
CU,우장산역점,서울특별시 강서구 강서로 251,1,0,CU,우장산역점,126.838587,37.5596089,,기존 그룹3
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,1,0,CU,우장산힐스테이트점,126.8388087,37.5578472,,
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,1,0,CU,등촌3단지점,126.8413965,37.5615994,,
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,1,0,CU,발산열린점,126.8379486,37.5603203,,
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,1,0,CU,등촌5단지점,126.84331,37.56251,,
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,1,0,GS25,발산에너지점,126.838934,37.5596199,,
