상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
CU,강서태양점,서울특별시 강서구 강서로18길 146,씨유 강서태양점,3.30,37.5351969,126.8522758
세븐일레븐,화곡수명점,서울특별시 강서구 강서로33길 103,세븐일레븐 화곡수명점,10.00,37.5413251,126.8367833
CU,수명파크점,서울특별시 강서구 수명로1길 110,씨유 수명파크점,3.30,37.5536454,126.8255085
CU,마곡아르디에점,서울특별시 강서구 강서로 423,씨유 마곡아르디에,7.00,37.5596089,126.838587
CU,우장산역점,서울특별시 강서구 강서로 251,씨유 우장산역점,6.60,37.5596089,126.838587
세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡로31길 22,세븐일레븐 화곡우장산숲점,3.30,37.5444787,126.8404758
CU,등촌두산점,서울특별시 강서구 양천로 564,CU등촌두산점,3.30,37.557135450000004,126.861382977526
세븐일레븐,방화점,서울특별시 강서구 금낭화로 146,세븐일레븐(방화점),2.28,37.5761896,126.8122948
CU,마곡푸르지오점,서울특별시 강서구 마곡중앙6로 10,씨유 마곡푸르지오점,6.60,37.5603397,126.833454
CU,방화또오기점,서울특별시 강서구 초원로16길 24,씨유 방화또오기점,3.30,37.5651174,126.8151716
CU,염창태진점,서울특별시 강서구 양천로 698,씨유 염창태진점,3.30,37.5488695,126.8781594
세븐일레븐,화곡곰달래지점,서울특별시 강서구 곰달래로 104,미니스톱 화곡명월점,4.00,37.5312794,126.8548343
미니스톱,화곡명월점,서울특별시 강서구 곰달래로 104,미니스톱 화곡명월점,4.00,37.5312794,126.8548343
미니스톱,가양대교점,서울특별시 강서구 양천로 492,미니스톱가양대교점,6.60,37.5608976,126.85460682781894
GS25,마곡파크뷰점,서울특별시 강서구 마곡중앙6로 85,GS25 마곡파크뷰점,6.60,37.5603397,126.833454
GS25,마곡시티점,서울특별시 강서구 마곡서로 170,지에스25 마곡시티점,6.60,37.5634278,126.8243108
CU,수명산7단지점,서울특별시 강서구 수명로2가길 22,씨유 수명산7단지점,3.30,37.54785955,126.82243748195583
GS25,화곡대원점,서울특별시 강서구 화곡로21길 87,GS25 화곡대원점,3.30,37.5429499,126.83655
CU,나눔방화점,서울특별시 강서구 방화대로37길 15,씨유 나눔방화점,3.30,37.5699191,126.8153687
CU,화곡이슬점,서울특별시 강서구 곰달래로24길 19,씨유 화곡이슬점,5.00,37.529639,126.847149
GS25,강서부영점,서울특별시 강서구 강서로56나길 110,지에스25(GS25) 강서부영점,6.60,37.564216200000004,126.84365649180495
이마트24,발산현대점,서울특별시 강서구 남부순환로19길 81,이마트24 발산현대점,7.00,37.547085550000006,126.82428745
세븐일레븐,염창점,서울특별시 강서구 양천로69길 11,세븐일레븐 염창중앙점,3.30,37.5548311,126.8720968
세븐일레븐,화곡중앙점,서울특별시 강서구 강서로31길 10,세븐일레븐 화곡중앙점,6.60,37.5406232,126.8411013
GS25,화곡풍년점,서울특별시 강서구 곰달래로 61,지에스25 화곡풍년점,3.30,37.5312794,126.8548343
GS25,방화상춘점,서울특별시 강서구 금낭화로19길 26,GS25 방화상춘점,3.30,37.575611,126.8108588
세븐일레븐,강서공항중앙점,서울특별시 강서구 송정로 10,세븐일레븐 강서공항중앙점,3.30,37.5580738,126.8111162
세븐일레븐,개화산역점,서울특별시 강서구 양천로 34,세븐일레븐(개화산역점),3.07,37.57255455,126.80774582562303
GS25,공항제일점,서울특별시 강서구 송정로4길 46,GS25 공항제일점,7.00,37.5581449,126.814114
GS25,화곡행복점,서울특별시 강서구 등촌로13길 90,세븐일레븐 화곡행복점,3.00,37.5379589,126.8584522
CU,발산진흥점,서울특별시 강서구 강서로47길 67,씨유 발산진흥점,3.30,37.552898850000005,126.8324336
세븐일레븐,가양프라자점,서울특별시 강서구 허준로 198,세븐일레븐 가양프라자점,6.60,37.5652368,126.8535763
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,세븐일레븐 강서등마루점,3.30,37.5583189,126.8538698
CU,방화오피스2호점,서울특별시 강서구 개화동로29길 14,씨유 방화오피스2호점,3.30,37.5641858,126.8090734
CU,소나무공원점,서울특별시 강서구 까치산로15길 17,씨유소나무 공원점,3.30,37.5468247,126.8478609
CU,강서화곡점,서울특별시 강서구 화곡로42길 15,씨유 강서화곡점,3.30,37.546189,126.8469033
세븐일레븐,등촌현대점,서울특별시 강서구 공항대로61길 13,세븐일레븐 등촌현대점,3.30,37.551360349999996,126.86621403744033
CU,염창동아점,서울특별시 강서구 양천로 731,씨유 염창동아점,3.00,37.5502498,126.8774176
GS25,화곡으뜸점,서울특별시 강서구 우장산로 125,지에스25화곡으뜸점,3.30,37.5544426,126.8407214
GS25,화곡소담점,서울특별시 강서구 화곡로44길 12,GS25화곡소담점,3.30,37.5480348,126.8471727
GS25,마곡14단지점,서울특별시 강서구 마곡중앙로 33,지에스25뉴마곡14단지점,5.00,37.5572643,126.8261089
GS25,뉴마곡14단지점,서울특별시 강서구 마곡중앙로 33,지에스25뉴마곡14단지점,5.00,37.5572643,126.8261089
GS25,화곡달빛점,서울특별시 강서구 곰달래로16길 29,지에스25화곡달빛,3.30,37.5292929,126.8402381
GS25,방화5단지점,서울특별시 강서구 금낭화로 287-19,지에스25방화5단지점,3.30,37.5761896,126.8122948
GS25,화곡한나점,서울특별시 강서구 강서로5나길 21,GS25 화곡한나점,4.00,37.5284255,126.8437594
GS25,발산1단지점,서울특별시 강서구 강서로47길 108,씨유마곡1단지점,3.30,37.5535087,126.8300732
CU,송정공항점,서울특별시 강서구 공항대로8길 17,CU 송정공항점,3.30,37.560912,126.8122272
CU,마곡보타닉푸르지오2호점,서울특별시 강서구 마곡중앙5로 6,GS25마곡보타닉,3.30,37.5671609,126.8220048
CU,양천향교점,서울특별시 강서구 양천로49길 35,씨유양천향교점,3.30,37.5714536,126.8402389
CU,염창월드점,서울특별시 강서구 공항대로59다길 122,CU 염창월드점,3.30,37.55080585,126.86944255211321
세븐일레븐,마곡6단지점,서울특별시 강서구 마곡서1로 100,세븐일레븐 마곡6단지점,3.30,37.5587099,126.8202816
CU,강서산업센터점,서울특별시 강서구 양천로 401,지에스25 강서자이타워점,3.30,37.5488695,126.8781594
CU,강서산업센터점,서울특별시 강서구 양천로 401,씨유 강서지식산업센터점,3.30,37.5488695,126.8781594
세븐일레븐,화곡하늘점,서울특별시 강서구 까치산로18라길 6,세븐일레븐 화곡하늘점,4.00,37.5461832,126.853548
세븐일레븐,강서화곡진주점,서울특별시 강서구 곰달래로36길 17,세븐일레븐 강서화곡진주점,3.30,37.5303815,126.8538236
CU,강서해링턴점,서울특별시 강서구 강서로 231,씨유 강서해링턴점,3.30,37.5596089,126.838587
미니스톱,개화산역점,서울특별시 강서구 양천로 50,미니스톱 개화산역점,3.30,37.5488695,126.8781594
CU,염창세계로점,서울특별시 강서구 양천로69길 58,씨유 염창세계로점,3.30,37.5548311,126.8720968
GS25,화곡푸르지오,서울특별시 강서구 화곡로13길 107,GS25화곡푸르지오,3.30,37.543712049999996,126.83123357379043
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,GS25화곡푸르지오,3.30,37.543712049999996,126.83123357379043
세븐일레븐,화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,세븐일레븐 화곡신정초교점,3.30,37.5335627,126.8536722
세븐일레븐,화곡로점,서울특별시 강서구 화곡로60길 33,세븐일레븐 화곡로점,3.30,37.5534968,126.8524565
세븐일레븐,화곡원룸점,서울특별시 강서구 강서로7길 59,세븐일레븐 화곡 원룸점,6.60,37.5293488,126.8448368
미니스톱,서울신주점,서울특별시 강서구 곰달래로31가길 80,미니스톱 서울신주점,3.30,37.5322543,126.8546247
