fid,id,left,top,right,bottom,장애거주비율,거리점수(지하철),버스 정류장 ,전동보조기기 충전소,편의/복지시설,총합점수
1,125,14113803.66,4519340.415,14114303.66,4518840.415,0.134,0,0,0,0,0.134
2,124,14113803.66,4519840.415,14114303.66,4519340.415,0.317,0,0,0,0,0.317
3,127,14113803.66,4518340.415,14114303.66,4517840.415,0.134,0,0,0,0,0.134
4,126,14113803.66,4518840.415,14114303.66,4518340.415,0.134,0,0,0,0,0.134
5,123,14113803.66,4520340.415,14114303.66,4519840.415,0.317,0,0,0,0,0.317
6,122,14113803.66,4520840.415,14114303.66,4520340.415,0.317,0,0,0,0,0.317
7,15,14111303.66,4516840.415,14111803.66,4516340.415,0.134,0,0,0,0,0.134
8,519,14122303.66,4517840.415,14122803.66,4517340.415,0.585,1,0.087,0,0,1.672
9,14,14111303.66,4517340.415,14111803.66,4516840.415,0.134,0,0,0,0,0.134
10,518,14122303.66,4518340.415,14122803.66,4517840.415,1,0,0,0,0,1
11,525,14122303.66,4514840.415,14122803.66,4514340.415,0.085,0,0.087,0,0,0.172
12,524,14122303.66,4515340.415,14122803.66,4514840.415,0.085,0,0.043,0,0,0.128
13,527,14122303.66,4513840.415,14122803.66,4513340.415,0.195,0,0.087,0,0,0.282
14,526,14122303.66,4514340.415,14122803.66,4513840.415,0.195,0,0.043,0,0,0.238
15,521,14122303.66,4516840.415,14122803.66,4516340.415,0.037,1,0.087,0,0,1.124
16,16,14111303.66,4516340.415,14111803.66,4515840.415,0.134,0,0,0,0,0.134
17,520,14122303.66,4517340.415,14122803.66,4516840.415,0.585,1,0.174,0,0,1.759
18,523,14122303.66,4515840.415,14122803.66,4515340.415,0.085,1,0.043,0,0,1.128
19,522,14122303.66,4516340.415,14122803.66,4515840.415,0.085,1,0.087,0,0,1.172
20,528,14122303.66,4513340.415,14122803.66,4512840.415,0.195,0,0.043,0,0,0.238
21,37,14111803.66,4517340.415,14112303.66,4516840.415,0.134,0,0.087,0,0,0.221
22,36,14111803.66,4517840.415,14112303.66,4517340.415,0.134,0,0,0,0,0.134
23,39,14111803.66,4516340.415,14112303.66,4515840.415,0.134,0,0,0,0,0.134
24,543,14122803.66,4517340.415,14123303.66,4516840.415,0,0.5,0.087,0,0,0.587
25,38,14111803.66,4516840.415,14112303.66,4516340.415,0.134,0,0,0,0,0.134
26,542,14122803.66,4517840.415,14123303.66,4517340.415,0.585,0,0,0,0,0.585
27,545,14122803.66,4516340.415,14123303.66,4515840.415,0,1,0.217,0.333333333,0,1.55
28,40,14111803.66,4515840.415,14112303.66,4515340.415,0.134,0,0,0,0,0.134
29,544,14122803.66,4516840.415,14123303.66,4516340.415,0.037,1,0.478,0,0,1.515
30,546,14122803.66,4515840.415,14123303.66,4515340.415,0,1,0,0,0,1
31,61,14112303.66,4516840.415,14112803.66,4516340.415,0.134,0,0,0,0,0.134
32,565,14123303.66,4517840.415,14123803.66,4517340.415,0,0,0,0,0,0
33,60,14112303.66,4517340.415,14112803.66,4516840.415,0.134,0,0,0,0,0.134
34,63,14112303.66,4515840.415,14112803.66,4515340.415,0.134,0,0,0,0,0.134
35,567,14123303.66,4516840.415,14123803.66,4516340.415,0,0,0.043,0,0,0.043
36,62,14112303.66,4516340.415,14112803.66,4515840.415,0.134,0,0,0,0,0.134
37,566,14123303.66,4517340.415,14123803.66,4516840.415,0,0,0,0,0,0
38,57,14112303.66,4518840.415,14112803.66,4518340.415,0.134,0,0,0,0,0.134
39,59,14112303.66,4517840.415,14112803.66,4517340.415,0.134,0,0,0,0,0.134
40,58,14112303.66,4518340.415,14112803.66,4517840.415,0.134,0,0,0,0,0.134
41,197,14115303.66,4517840.415,14115803.66,4517340.415,0.317,1,0.304,0.333333333,0,1.954
42,196,14115303.66,4518340.415,14115803.66,4517840.415,0.317,1,0.261,0,0,1.578
43,199,14115303.66,4516840.415,14115803.66,4516340.415,0.134,0,0,0,0,0.134
44,198,14115303.66,4517340.415,14115803.66,4516840.415,0.134,0.5,0.043,0,0,0.677
45,193,14115303.66,4519840.415,14115803.66,4519340.415,0.476,1,0.087,0,0,1.563
46,569,14123303.66,4515840.415,14123803.66,4515340.415,0,1,0.217,0,0,1.217
47,192,14115303.66,4520340.415,14115803.66,4519840.415,0.317,1,0.043,0,0,1.36
48,568,14123303.66,4516340.415,14123803.66,4515840.415,0,1,0.261,0,0,1.261
49,195,14115303.66,4518840.415,14115803.66,4518340.415,0.317,0.5,0,0,0,0.817
50,194,14115303.66,4519340.415,14115803.66,4518840.415,0.317,1,0.043,0,0,1.36
51,201,14115303.66,4515840.415,14115803.66,4515340.415,0.134,0,0,0,0,0.134
52,200,14115303.66,4516340.415,14115803.66,4515840.415,0.134,0,0,0,0,0.134
53,203,14115303.66,4514840.415,14115803.66,4514340.415,0.134,0,0,0,0,0.134
54,202,14115303.66,4515340.415,14115803.66,4514840.415,0.134,0,0,0,0,0.134
55,213,14115803.66,4521340.415,14116303.66,4520840.415,0.317,0,0,0,0,0.317
56,212,14115803.66,4521840.415,14116303.66,4521340.415,0.317,0,0,0,0,0.317
57,215,14115803.66,4520340.415,14116303.66,4519840.415,0.476,0.5,0,0,0,0.976
58,214,14115803.66,4520840.415,14116303.66,4520340.415,0.476,0.5,0,0,0,0.976
59,209,14115803.66,4523340.415,14116303.66,4522840.415,0.317,0,0,0,0,0.317
60,208,14115803.66,4523840.415,14116303.66,4523340.415,0.317,0,0,0,0,0.317
61,211,14115803.66,4522340.415,14116303.66,4521840.415,0.317,0,0,0,0,0.317
62,210,14115803.66,4522840.415,14116303.66,4522340.415,0.317,0,0,0,0,0.317
63,221,14115803.66,4517340.415,14116303.66,4516840.415,0.134,0.5,0.217,0,0,0.851
64,220,14115803.66,4517840.415,14116303.66,4517340.415,0.317,1,0,0,0,1.317
65,223,14115803.66,4516340.415,14116303.66,4515840.415,0.134,0,0,0,0,0.134
66,222,14115803.66,4516840.415,14116303.66,4516340.415,0.134,0,0,0,0,0.134
67,217,14115803.66,4519340.415,14116303.66,4518840.415,0.317,1,0.087,0.333333333,0.2,1.937
68,216,14115803.66,4519840.415,14116303.66,4519340.415,0.476,1,0,0,0,1.476
69,219,14115803.66,4518340.415,14116303.66,4517840.415,0.317,1,0.13,0,0,1.447
70,218,14115803.66,4518840.415,14116303.66,4518340.415,0.317,1,0.087,0,0,1.404
71,225,14115803.66,4515340.415,14116303.66,4514840.415,0.134,0,0,0,0,0.134
72,224,14115803.66,4515840.415,14116303.66,4515340.415,0.134,0,0,0,0,0.134
73,237,14116303.66,4520840.415,14116803.66,4520340.415,0.476,0.5,0,0,0,0.976
74,236,14116303.66,4521340.415,14116803.66,4520840.415,0.317,0,0,0,0.2,0.517
75,239,14116303.66,4519840.415,14116803.66,4519340.415,0.476,1,0.348,0.666666667,0.4,2.891
76,238,14116303.66,4520340.415,14116803.66,4519840.415,0.476,1,0.043,0.333333333,0,1.852
77,233,14116303.66,4522840.415,14116803.66,4522340.415,0.317,0,0,0,0,0.317
78,232,14116303.66,4523340.415,14116803.66,4522840.415,0.317,0,0,0,0,0.317
79,235,14116303.66,4521840.415,14116803.66,4521340.415,0.317,0,0,0,0,0.317
80,234,14116303.66,4522340.415,14116803.66,4521840.415,0.317,0,0,0,0,0.317
81,245,14116303.66,4516840.415,14116803.66,4516340.415,0.134,0,0.087,0,0,0.221
82,244,14116303.66,4517340.415,14116803.66,4516840.415,0.134,1,0.217,0.333333333,0.2,1.884
83,247,14116303.66,4515840.415,14116803.66,4515340.415,0.134,0,0.043,0,0,0.177
84,246,14116303.66,4516340.415,14116803.66,4515840.415,0.134,0,0.043,0,0,0.177
85,241,14116303.66,4518840.415,14116803.66,4518340.415,0.317,1,0.217,0,0.2,1.734
86,240,14116303.66,4519340.415,14116803.66,4518840.415,0.317,1,0.435,0.333333333,0,2.085
87,243,14116303.66,4517840.415,14116803.66,4517340.415,0.317,1,0.391,0,0,1.708
88,242,14116303.66,4518340.415,14116803.66,4517840.415,0.317,1,0.13,0,0.2,1.647
89,249,14116303.66,4514840.415,14116803.66,4514340.415,0.146,0,0,0,0,0.146
90,248,14116303.66,4515340.415,14116803.66,4514840.415,0.146,0,0,0,0,0.146
91,133,14113803.66,4515340.415,14114303.66,4514840.415,0.134,0,0,0,0,0.134
92,132,14113803.66,4515840.415,14114303.66,4515340.415,0.134,0,0,0,0,0.134
93,129,14113803.66,4517340.415,14114303.66,4516840.415,0.134,0,0,0,0,0.134
94,128,14113803.66,4517840.415,14114303.66,4517340.415,0.134,0,0,0,0,0.134
95,131,14113803.66,4516340.415,14114303.66,4515840.415,0.134,0,0,0,0,0.134
96,130,14113803.66,4516840.415,14114303.66,4516340.415,0.134,0,0,0,0,0.134
97,149,14114303.66,4518840.415,14114803.66,4518340.415,0.134,0,0,0,0,0.134
98,148,14114303.66,4519340.415,14114803.66,4518840.415,0.317,0,0,0,0,0.317
99,151,14114303.66,4517840.415,14114803.66,4517340.415,0.134,0,0,0,0,0.134
100,150,14114303.66,4518340.415,14114803.66,4517840.415,0.134,0,0,0,0,0.134
101,145,14114303.66,4520840.415,14114803.66,4520340.415,0.317,0.5,0,0,0,0.817
102,144,14114303.66,4521340.415,14114803.66,4520840.415,0.317,0,0,0,0,0.317
103,147,14114303.66,4519840.415,14114803.66,4519340.415,0.317,1,0,0,0,1.317
104,146,14114303.66,4520340.415,14114803.66,4519840.415,0.317,1,0,0,0,1.317
105,157,14114303.66,4514840.415,14114803.66,4514340.415,0.134,0,0,0,0,0.134
106,156,14114303.66,4515340.415,14114803.66,4514840.415,0.134,0,0,0,0,0.134
107,158,14114303.66,4514340.415,14114803.66,4513840.415,0.134,0,0,0,0,0.134
108,153,14114303.66,4516840.415,14114803.66,4516340.415,0.134,0,0,0,0,0.134
109,152,14114303.66,4517340.415,14114803.66,4516840.415,0.134,0,0,0,0,0.134
110,155,14114303.66,4515840.415,14114803.66,4515340.415,0.134,0,0,0,0,0.134
111,154,14114303.66,4516340.415,14114803.66,4515840.415,0.134,0,0,0,0,0.134
112,165,14114803.66,4522340.415,14115303.66,4521840.415,0.317,0,0,0,0,0.317
113,164,14114803.66,4522840.415,14115303.66,4522340.415,0.317,0,0,0,0,0.317
114,167,14114803.66,4521340.415,14115303.66,4520840.415,0.317,0,0,0,0,0.317
115,166,14114803.66,4521840.415,14115303.66,4521340.415,0.317,0,0,0,0,0.317
116,163,14114803.66,4523340.415,14115303.66,4522840.415,0.317,0,0,0,0,0.317
117,162,14114803.66,4523840.415,14115303.66,4523340.415,0.317,0,0,0,0,0.317
118,173,14114803.66,4518340.415,14115303.66,4517840.415,0.317,1,0,0,0,1.317
119,172,14114803.66,4518840.415,14115303.66,4518340.415,0.317,0.5,0,0,0,0.817
120,175,14114803.66,4517340.415,14115303.66,4516840.415,0.134,0.5,0,0,0,0.634
121,174,14114803.66,4517840.415,14115303.66,4517340.415,0.317,1,0.087,0,0,1.404
122,169,14114803.66,4520340.415,14115303.66,4519840.415,0.317,1,0.13,0,0.2,1.647
123,168,14114803.66,4520840.415,14115303.66,4520340.415,0.317,1,0.087,0,0,1.404
124,171,14114803.66,4519340.415,14115303.66,4518840.415,0.317,0,0,0,0,0.317
125,170,14114803.66,4519840.415,14115303.66,4519340.415,0.317,1,0,0,0,1.317
126,181,14114803.66,4514340.415,14115303.66,4513840.415,0.134,0,0,0,0,0.134
