,시설명,시설종류,위도,경도
0,강서노인종합복지관,노인장애인보호구역,37.5581232,126.8475516
1,등촌4종합복지과경로당,노인장애인보호구역,37.56225915,126.8428951
2,천사노인요양원,노인장애인보호구역,37.5466919,126.8334856
3,가양시니어스타워,노인장애인보호구역,37.55698878,126.8593316
4,곰달래어르신복지센터,노인장애인보호구역,37.52905997,126.8488982
5,봉제산어른신복지센터,노인장애인보호구역,37.54152282,126.8514079
6,연지어르신복지센터,노인장애인보호구역,37.55241466,126.8526628
7,화곡노인복지센터,노인장애인보호구역,37.53546801,126.8410987
8,늘푸른나무복지관,노인장애인보호구역,37.56853632,126.8511172
9,호선실버센터,노인장애인보호구역,37.55130577,126.8278583
10,평안요양원,노인장애인보호구역,37.57372577,126.8373875
11,봄날서울요양원,노인장애인보호구역,37.57415382,126.8092615
12,봄날실버센터,노인장애인보호구역,37.56892226,126.8114862
13,늘푸른집,노인장애인보호구역,37.58422566,126.8115637
14,참사랑실버케어센터,노인장애인보호구역,37.54754447,126.8492819
15,열림일터,장애인직업재활시설,37.55493,126.85463
16,그라나다보호작업센터,장애인직업재활시설,37.5686089,126.8507035
17,기쁜우리보호작업장,장애인직업재활시설,37.5652368,126.8535763
18,강서구휴먼희망일터,장애인직업재활시설,37.5669454,126.84139379517198
19,구립강서구직업재활센터,장애인직업재활시설,37.5674645,126.85171442130871
20,다사랑(대한정신보건가족협회),장애인직업재활시설,37.5800146,126.7995401
21,초록등대장애인보호작업장,장애인직업재활시설,37.5564903,126.8112501
22,강서나누리센터,장애인직업재활시설,37.5624876,126.8137345
23,강서구희망센터,장애인직업재활시설,37.5444787,126.8404758
24,행복을파는장사꾼,장애인직업재활시설,37.55493,126.85463
25,참행복한세상,장애인직업재활시설,37.5596089,126.838587
26,늘푸른나무복지관,장애인지역사회재활시설,37.5686089,126.8507035
27,강서구수어통역센터,장애인지역사회재활시설,37.5532574,126.8207678002502
28,기쁜우리복지관부설주간보호시설,장애인지역사회재활시설,37.5652368,126.8535763
29,강서뇌성마비복지관,장애인지역사회재활시설,37.574191,126.812563
30,주간보호센터햇볕교실,장애인지역사회재활시설,37.5719813,126.8060799
31,파랑새교육원주간보호,장애인지역사회재활시설,37.55493,126.85463
32,우리집주간보호,장애인지역사회재활시설,37.576279,126.8372549
33,기쁜우리복지관,장애인지역사회재활시설,37.5652368,126.8535763
34,기쁜우리체육센터,장애인지역사회재활시설,37.5652368,126.8535763
35,꿈자람터장애인주간보호센터,장애인지역사회재활시설,37.5582554,126.8492138
36,늘푸른마을,장애인지역사회재활시설,37.5488137,126.8519996
37,로뎀나무,장애인지역사회재활시설,37.5459648,126.8496284
38,성산푸른초장주간보호시설,장애인지역사회재활시설,37.56814765,126.8232237629293
39,강서뇌성마비 주간보호,장애인지역사회재활시설,37.5744543,126.8138593
40,교남발달지원센터,장애인지역사회재활시설,37.5488137,126.8519996
41,휴샘아동가족발달센터,장애인지역사회재활시설,37.5671609,126.8220048
42,40플러스 금곡행복쉼터 주간보호센터,장애인지역사회재활시설,37.5744543,126.8138593
43,교남소망의집,장애인거주시설,37.5488137,126.8519996
44,임마누엘화곡1공동체,장애인거주시설,37.535572,126.8587021
45,임마누엘화곡공동체,장애인거주시설,37.5307444,126.8537509
46,임마누엘등촌1공동체,장애인거주시설,37.5583189,126.8538698
47,교남공동생활가정4호,장애인거주시설,37.541614,126.8459115
48,교남공동생활가정1호,장애인거주시설,37.5460405,126.8487294
49,교남공동생활가정5호,장애인거주시설,37.5444787,126.8404758
50,우리집,장애인거주시설,37.576279,126.8372549
51,나눔공동체,장애인거주시설,37.5374109,126.8575827
52,선린원,장애인거주시설,37.5488137,126.8519996
53,푸른터,장애인거주시설,37.5380677,126.8506036
54,푸른터2호,장애인거주시설,37.5433955,126.832903
55,푸른터3호,장애인거주시설,37.5686089,126.8507035
56,강서희망의집,장애인거주시설,37.5430957,126.8411151
57,화곡성모공동생활가정,장애인거주시설,37.5380677,126.8506036
58,로사리아공동생활가정,장애인거주시설,37.5380677,126.8506036
59,샬롬의 집,장애인거주시설,37.557913,126.8148236
60,임마누엘등촌공동체,장애인거주시설,37.5613245,126.8445763
61,열린마음하나,장애인거주시설,37.5411482,126.8497089
62,로뎀하우스,장애인거주시설,37.5562772,126.8538202
63,성산푸른초장단기보호시설,장애인거주시설,37.56814765,126.8232237629293
64,열린마음,장애인거주시설,37.5375548,126.8455
65,늘푸른집,장애인거주시설,37.5857871,126.8150432
66,여호와닛시의집,장애인거주시설,37.5644587,126.8099205
67,H2빌,장애인거주시설,37.5857871,126.8150432
68,교남공동생활가정2호,장애인거주시설,37.5408513,126.8523497
69,행복이가득한집 2호,장애인거주시설,37.5292843,126.8400084
70,주은공동생활가정,장애인거주시설,37.5299233,126.8541161
