시설명,시설주소,시설종류상세명(시설종류),현인원,위도,경도
열림일터,서울특별시 강서구 까치산로 136,장애인직업재활시설,43,37.55493,126.85463
그라나다보호작업센터,서울특별시 강서구 허준로5길 37,장애인직업재활시설,44,37.5686089,126.8507035
기쁜우리보호작업장,서울특별시 강서구 허준로 65,장애인직업재활시설,36,37.5652368,126.8535763
강서구휴먼희망일터,서울특별시 강서구 강서로 466,장애인직업재활시설,23,37.566945399999994,126.84139379517198
구립강서구직업재활센터,서울특별시 강서구 허준로 95-9,장애인직업재활시설,65,37.5674645,126.85171442130871
다사랑(대한정신보건가족협회),서울특별시 강서구 개화동로7길 3-16,장애인직업재활시설,29,37.5800146,126.7995401
초록등대장애인보호작업장,서울특별시 강서구 송정로1길 19,장애인직업재활시설,29,37.5564903,126.8112501
강서나누리센터,서울특별시 강서구 공항대로7가길 21-3,장애인직업재활시설,30,37.5624876,126.8137345
강서구희망센터,서울특별시 강서구 화곡로31길 25,장애인직업재활시설,38,37.5444787,126.8404758
행복을파는장사꾼,서울특별시 강서구 까치산로 134,장애인직업재활시설,31,37.55493,126.85463
참행복한세상,서울특별시 강서구 강서로 462,장애인직업재활시설,10,37.5596089,126.838587
