대상시설명,위도,경도
강서노인종합복지관,37.5581232,126.8475516
등촌4종합복지과경로당,37.56225915,126.8428951
천사노인요양원,37.5466919,126.8334856
가양시니어스타워,37.55698878,126.8593316
곰달래어르신복지센터,37.52905997,126.8488982
봉제산어른신복지센터,37.54152282,126.8514079
연지어르신복지센터,37.55241466,126.8526628
화곡노인복지센터,37.53546801,126.8410987
늘푸른나무복지관,37.56853632,126.8511172
호선실버센터,37.55130577,126.8278583
평안요양원,37.57372577,126.8373875
봄날서울요양원,37.57415382,126.8092615
봄날실버센터,37.56892226,126.8114862
늘푸른집,37.58422566,126.8115637
참사랑실버케어센터,37.54754447,126.8492819
