시설명,시설주소,시설종류상세명(시설종류),현인원,위도,경도
늘푸른나무복지관,서울특별시 강서구 허준로5길 37,장애인지역사회재활시설,500.0,37.5686089,126.8507035
강서구수어통역센터,서울특별시 강서구 발산로 40,장애인지역사회재활시설,6252.0,37.5532574,126.8207678002502
기쁜우리복지관부설주간보호시설,서울특별시 강서구 허준로 65,장애인지역사회재활시설,18.0,37.5652368,126.8535763
강서뇌성마비복지관,서울특별시 강서구 방화대로 45길 69,장애인지역사회재활시설,500.0,0.0,0.0
주간보호센터햇볕교실,서울특별시 강서구 개화동로21길 4,장애인지역사회재활시설,13.0,37.5719813,126.8060799
파랑새교육원주간보호,서울특별시 강서구 까치산로 134,장애인지역사회재활시설,13.0,37.55493,126.85463
우리집주간보호,서울특별시 강서구 양천로47길 70-6,장애인지역사회재활시설,12.0,37.576279,126.8372549
기쁜우리복지관,서울특별시 강서구 허준로 65　,장애인지역사회재활시설,500.0,37.5652368,126.8535763
기쁜우리체육센터,서울특별시 강서구 허준로 65,장애인지역사회재활시설,300.0,37.5652368,126.8535763
꿈자람터장애인주간보호센터,서울특별시 강서구 공항대로43길 104,장애인지역사회재활시설,12.0,37.5582554,126.8492138
늘푸른마을,서울특별시 강서구 까치산로22길 38,장애인지역사회재활시설,13.0,37.5488137,126.8519996
로뎀나무,서울특별시 강서구 까치산로18나길 36,장애인지역사회재활시설,11.0,37.5459648,126.8496284
성산푸른초장주간보호시설,서울특별시 강서구 양천로30길 14,장애인지역사회재활시설,16.0,37.56814765,126.8232237629293
강서뇌성마비 주간보호,서울특별시 강서구 방화대로45길 69,장애인지역사회재활시설,12.0,37.5744543,126.8138593
교남발달지원센터,서울특별시 강서구 까치산로22길 38,장애인지역사회재활시설,36.0,37.5488137,126.8519996
휴샘아동가족발달센터,서울특별시 강서구 마곡중앙5로 81,장애인지역사회재활시설,35.0,37.5671609,126.8220048
40플러스 금곡행복쉼터 주간보호센터,서울특별시 강서구 방화대로45길 69,장애인지역사회재활시설,,37.5744543,126.8138593
