시설명,시설주소,시설종류상세명(시설종류),현인원,위도,경도
교남소망의집,서울특별시 강서구 까치산로22길 38,장애인거주시설,57,37.5488137,126.8519996
임마누엘화곡1공동체,서울특별시 강서구 등촌로13다길 22-7,장애인거주시설,4,37.535572,126.8587021
임마누엘화곡공동체,서울특별시 강서구 강서로10길 108,장애인거주시설,4,37.5307444,126.8537509
임마누엘등촌1공동체,서울특별시 강서구 화곡로66길 145-15,장애인거주시설,4,37.5583189,126.8538698
교남공동생활가정4호,서울특별시 강서구 까치산로8길 44,장애인거주시설,4,37.541614,126.8459115
교남공동생활가정1호,서울특별시 강서구 까치산로16길 21,장애인거주시설,4,37.5460405,126.8487294
교남공동생활가정5호,서울특별시 강서구 화곡로31길 5-6,장애인거주시설,3,37.5444787,126.8404758
우리집,서울특별시 강서구 양천로47길 70-6,장애인거주시설,10,37.576279,126.8372549
나눔공동체,서울특별시 강서구 등촌로13바길 59,장애인거주시설,4,37.5374109,126.8575827
선린원,서울특별시 강서구 까치산로22길 35-5,장애인거주시설,10,37.5488137,126.8519996
푸른터,서울특별시 강서구 초록마을로26길 35-8,장애인거주시설,4,37.5380677,126.8506036
푸른터2호,서울특별시 강서구 화곡로13길 20-9,장애인거주시설,4,37.5433955,126.832903
푸른터3호,서울특별시 강서구 허준로5길 37,장애인거주시설,4,37.5686089,126.8507035
강서희망의집,서울특별시 강서구 강서로34길 36,장애인거주시설,10,37.5430957,126.8411151
화곡성모공동생활가정,서울특별시 강서구 초록마을로24길 7-8,장애인거주시설,4,37.5380677,126.8506036
로사리아공동생활가정,서울특별시 강서구 초록마을로24길 7-8,장애인거주시설,4,37.5380677,126.8506036
샬롬의 집,서울특별시 강서구 방화대로7가길 11,장애인거주시설,15,37.557913,126.8148236
임마누엘등촌공동체,서울특별시 강서구 공항대로39길 74,장애인거주시설,4,37.5613245,126.8445763
열린마음하나,서울특별시 강서구 초록마을로16길 20,장애인거주시설,4,37.5411482,126.8497089
로뎀하우스,서울특별시 강서구 공항대로45가길 29,장애인거주시설,11,37.5562772,126.8538202
성산푸른초장단기보호시설,서울특별시 강서구 양천로30길 14,장애인거주시설,12,37.56814765,126.8232237629293
열린마음,서울특별시 강서구 초록마을로34길 61,장애인거주시설,4,37.5375548,126.8455
늘푸른집,서울특별시 강서구 금낭화로26가길 130,장애인거주시설,10,37.5857871,126.8150432
여호와닛시의집,서울특별시 강서구 방화동로5길 38-7,장애인거주시설,3,37.5644587,126.8099205
H2빌,서울특별시 강서구 금낭화로26가길 130,장애인거주시설,30,37.5857871,126.8150432
교남공동생활가정2호,서울특별시 강서구 초록마을로19길 12,장애인거주시설,4,37.5408513,126.8523497
행복이가득한집 2호,서울특별시 강서구 월정로18길 20,장애인거주시설,3,37.5292843,126.8400084
주은공동생활가정,서울특별시 강서구 강서로5라길 138,장애인거주시설,3,37.5299233,126.8541161
