"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"교남소망의집","C0246","(장애인) 장애유형별거주시설","장애인거주시설","자치구","권나영","1150000000","강서구","서울특별시 강서구 까치산로22길 38-0","58","57","02-2602-3880","157913"
"임마누엘화곡1공동체","C1543","(장애인) 장애인공동생활가정","장애인거주시설","자치구","장동국","1150000000","강서구","서울특별시 강서구 등촌로13다길 22-7 (화곡동)","4","4","02-3665-3831","07739"
"임마누엘화곡공동체","C1544","(장애인) 장애인공동생활가정","장애인거주시설","자치구","장동국","1150000000","강서구","서울특별시 강서구 강서로10길 108301호 (화곡동, 소망빌라)","4","4","02-3665-3831","07782"
"임마누엘등촌1공동체","C1545","(장애인) 장애인공동생활가정","장애인거주시설","자치구","장동국","1150000000","강서구","서울특별시 강서구 화곡로66길 145-15A동 201호 (등촌동, 원상하이빌)","4","4","02-3665-3831","07565"
"교남공동생활가정4호","C1681","(장애인) 장애인공동생활가정","장애인거주시설","자치구","황규인","1150000000","강서구","서울특별시 강서구 까치산로8길 44301호","4","4","02-2698-3880","07722"
"교남공동생활가정1호","C1684","(장애인) 장애인공동생활가정","장애인거주시설","자치구","황규인","1150000000","강서구","서울특별시 강서구 까치산로16길 21301호","4","4","02-2602-3880","07674"
"교남공동생활가정5호","C1688","(장애인) 장애인공동생활가정","장애인거주시설","자치구","황규인","1150000000","강서구","서울특별시 강서구 화곡로31길 5-6201호","4","3","02-2698-9461","07700"
"우리집","C1993","(장애인) 장애인단기거주시설","장애인거주시설","자치구","원순주","1150000000","강서구","서울특별시 강서구 양천로47길 70-6","10","10","02-2658-7503","07522"
"나눔공동체","C2033","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김한덕","1150000000","강서구","서울특별시 강서구 등촌로13바길 59","4","4","02-6405-0302","07738"
"선린원","C2034","(장애인) 장애인단기거주시설","장애인거주시설","자치구","장흥섭","1150000000","강서구","서울특별시 강서구 까치산로22길 35-5","10","10","02-2654-3372","07662"
"푸른터","C2043","(장애인) 장애인공동생활가정","장애인거주시설","자치구","정원택","1150000000","강서구","서울특별시 강서구 초록마을로26길 35-8","4","4","02-3661-3431","07724"
"푸른터2호","C2044","(장애인) 장애인공동생활가정","장애인거주시설","자치구","정원택","1150000000","강서구","서울특별시 강서구 화곡로13길 20-9201호","4","4","02-2695-0815","07711"
"푸른터3호","C2045","(장애인) 장애인공동생활가정","장애인거주시설","자치구","정원택","1150000000","강서구","서울특별시 강서구 허준로5길 37B동 3층 (가양동)(가양동)","4","4","02-2695-0816","07524"
"강서희망의집","C2057","(장애인) 장애인단기거주시설","장애인거주시설","자치구","유주경","1150000000","강서구","서울특별시 강서구 강서로34길 36","10","10","02-2605-7980","07700"
"화곡성모공동생활가정","C2087","(장애인) 장애인공동생활가정","장애인거주시설","자치구","이철우","1150000000","강서구","서울특별시 강서구 초록마을로24길 7-8B동 502호 (화곡동, 태영팰리스)","4","4","02-2605-6652","07724"
"로사리아공동생활가정","C2098","(장애인) 장애인공동생활가정","장애인거주시설","자치구","이철우","1150000000","강서구","서울특별시 강서구 초록마을로24길 7-8B동 202호 (화곡동, 태영팰리스)","4","4","02-2696-6521","07724"
"샬롬의 집","C2135","(장애인) 장애유형별거주시설","장애인거주시설","자치구","박기순","1150000000","강서구","서울특별시 강서구 방화대로7가길 11","20","15","070-4231-2489","157818"
"임마누엘등촌공동체","C7039","(장애인) 장애인공동생활가정","장애인거주시설","자치구","장동국","1150000000","강서구","서울특별시 강서구 공항대로39길 74502-902 (등촌동, 등촌5단지주공아파트)","4","4","02-3665-3831","07586"
"열린마음하나","C7761","(장애인) 장애인공동생활가정","장애인거주시설","자치구","이연옥","1150000000","강서구","서울특별시 강서구 초록마을로16길 20201호","4","4","02-2604-7328","07723"
"교남시냇가","C7901","(장애인) 중증장애인거주시설","장애인거주시설","자치구","황규인","1150000000","강서구","경기 파주시 적성면어못내길 94-42","30","28","031-959-0711","10804"
"로뎀하우스","C8028","(장애인) 장애인단기거주시설","장애인거주시설","자치구","이우형","1150000000","강서구","서울특별시 강서구 공항대로45가길 29102동 201호 (등촌동)","10","11","02-2606-5467","07572"
"성산푸른초장단기보호시설","C8304","(장애인) 장애인단기거주시설","장애인거주시설","자치구","홍금화","1150000000","강서구","서울특별시 강서구 양천로30길 142층","10","12","02-2692-5665","07593"
"열린마음","C8318","(장애인) 장애인공동생활가정","장애인거주시설","자치구","이연옥","1150000000","강서구","서울특별시 강서구 초록마을로34길61, 201호 (화곡동)","4","4","0226997324","07730"
"늘푸른집","C8420","(장애인) 장애인단기거주시설","장애인거주시설","자치구","임혜숙","1150000000","강서구","서울특별시 강서구 금낭화로26가길 1301층 ","10","10","02-2038-2165","07501"
"여호와닛시의집","C8627","(장애인) 장애인공동생활가정","장애인거주시설","자치구","정영자","1150000000","강서구","서울특별시 강서구 방화동로5길38-7 (방화동)","4","3","02-2665-0326","07620"
"H2빌","C8644","(장애인) 중증장애인거주시설","장애인거주시설","자치구","김은숙","1150000000","강서구","서울특별시 강서구 금낭화로26가길 130-0","30","30","0269252366","07501"
"교남공동생활가정2호","C9000","(장애인) 장애인공동생활가정","장애인거주시설","자치구","황규인","1150000000","강서구","서울특별시 강서구 초록마을로19길 12, 301호 (화곡동)","4","4","0226023384","157650"
"행복이가득한집 2호","C9181","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김세룡","1150000000","강서구","서울특별시 강서구 월정로18길 20, 401호 (화곡동)","3","3","0222369081","157650"
"주은공동생활가정","C9405","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김명희","1150000000","강서구","서울특별시 강서구 강서로5라길 138, 2층 (화곡동)","4","3","0226905746","07783"
