"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3150000","3150000-104-1966-07235","19661028","","03","폐업","02","폐업","19941226","","","","0206054744","62.00","157250","서울특별시 강서구 과해동 48-27번지 ","","","다린","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","0","3","주택가주변","지도","상수도전용","","","","","","","","","N","62","","",""
"3150000","3150000-104-1970-07143","19701119","","03","폐업","02","폐업","19900807","","","","0206645266","65.25","157853","서울특별시 강서구 방화동 620-50번지 ","","","코보다방","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","182974.746870825    ","451121.648101158    ","과자점","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","65.25","","",""
"3150000","3150000-104-1970-07169","19700216","","03","폐업","02","폐업","20000306","","","","0206620786","16.07","157884","서울특별시 강서구 화곡동 362-84번지 ","","","빌","2001-09-28 00:00:00","I","2018-08-31 23:59:59.0","다방","185642.804833445    ","448020.42984713     ","다방","1","3","주택가주변","지도","상수도전용","","","","","","","","","N","16.07","","",""
"3150000","3150000-104-1971-07152","19711123","","03","폐업","02","폐업","20021007","","","","02 6647377","74.16","157851","서울특별시 강서구 방화동 598-146번지 ","","","샘다방","2000-07-21 00:00:00","I","2018-08-31 23:59:59.0","다방","183375.296605616    ","451710.622010315    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","74.16","","",""
"3150000","3150000-104-1971-07201","19711209","","03","폐업","02","폐업","19900219","","","","0206053317","64.40","157250","서울특별시 강서구 과해동 72-33번지 ","","","수","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","64.4","","",""
"3150000","3150000-104-1972-06973","19720323","","03","폐업","02","폐업","19981024","","","","02 5545665","19.35","157822","서울특별시 강서구 과해동 274번지 ","","","국내선B스넥","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","1","1","기타","갑","상수도전용","","","","","","","","","N","19.35","","",""
"3150000","3150000-104-1972-07242","19720126","","03","폐업","02","폐업","19910105","","","","0206022851","103.35","157871","서울특별시 강서구 화곡동 98-60번지 ","","","화성","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","186156.556155993    ","448925.22598786     ","과자점","0","4","주택가주변","지도","상수도전용","","","","","","","","","N","103.35","","",""
"3150000","3150000-104-1973-07178","19730728","","03","폐업","02","폐업","19910212","","","","0206620990","100.10","157852","서울특별시 강서구 방화동 609-38번지 ","","","수정","2002-07-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","183305.351014322    ","451440.599238025    ","과자점","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","100.1","","",""
"3150000","3150000-104-1975-00060","19750215","","03","폐업","02","폐업","19901101","","","","0206022564","103.80","157884","서울특별시 강서구 화곡동 370-103번지 ","","","한일","2002-07-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","185623.258752859    ","448056.909741568    ","과자점","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","103.8","","",""
"3150000","3150000-104-1975-08509","19750313","","03","폐업","02","폐업","19990910","","","","02 6521318","125.08","157863","서울특별시 강서구 염창동 275-1번지 ","","","화천","2010-07-08 15:32:08","I","2018-08-31 23:59:59.0","다방","188222.331439058    ","449759.066576603    ","다방","0","3","주택가주변","갑","상수도전용","","","","","","","","","N","125.08","","",""
