상호명,지점명,도로명주소,단차/계단,확인불가
GS25,마곡LG정문점,서울특별시 강서구 마곡중앙6로 65,0,1
CU,마곡미라벨점,서울특별시 강서구 마곡서로 101,0,0
CU,뉴화곡우리마을,서울특별시 강서구 강서로7길 107,0,0
GS25,등촌캐빈점,서울특별시 강서구 공항대로51길 17,1,0
CU,마곡센트럴,서울특별시 강서구 공항대로 124,0,1
GS25,S9가양역점,서울특별시 강서구 양천로 485,0,0
CU,화곡대원점,서울특별시 강서구 화곡로21길 43,0,0
GS25,등촌으뜸점,서울특별시 강서구 화곡로66길 149,0,1
미니스톱,강서드림점,서울특별시 강서구 화곡로 330,0,1
GS25,화곡성당점,서울특별시 강서구 강서로 132,1,0
세븐일레븐,강서공항점,서울특별시 강서구 송정로4길 1-1,1,0
CU,등촌아름점,서울특별시 강서구 공항대로53길 23,0,0
CU,마곡미라클점,서울특별시 강서구 방화대로34길 60,0,0
CU,마곡엠팰리체,서울특별시 강서구 마곡동로4길 15,0,0
CU,등촌심미점,서울특별시 강서구 공항대로59다길 1,1,0
세븐일레븐,롯데스카이파크점,서울특별시 강서구 하늘길 38,0,1
GS25,화곡비젼점,서울특별시 강서구 강서로18바길 2,1,0
GS25,마곡점,서울특별시 강서구 마곡중앙1로 72,0,1
세븐일레븐,마곡행복점,서울특별시 강서구 마곡중앙2로 35,0,1
세븐일레븐,마곡열린점,서울특별시 강서구 공항대로 242,0,0
세븐일레븐,화곡사랑,서울특별시 강서구 초록마을로34길 85,0,0
GS25,화곡그린힐점,서울특별시 강서구 초록마을로 89,1,0
CU,화곡곰달래점,서울특별시 강서구 곰달래로49길 15,1,0
CU,공항대로점,서울특별시 강서구 공항대로 549,0,1
GS25,화곡베스트점,서울특별시 강서구 월정로 112,0,0
CU,메이필드호텔점,서울특별시 강서구 방화대로 94,0,1
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,1,0
CU,방화메아리점,서울특별시 강서구 금낭화로24길 29-4,1,0
세븐일레븐,화곡현대점,서울특별시 강서구 초록마을로30길 7,0,0
세븐일레븐,마곡신사고점,서울특별시 강서구 강서로 463,0,1
세븐일레븐,화곡본동점,서울특별시 강서구 초록마을로14길 37,1,0
미니스톱,강서IT점,서울특별시 강서구 공항대로44길 11,0,1
세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 공항대로 140,0,0
GS25,뉴마곡12단지점 ,서울 강서구 마곡중앙1로 26,1,0
세븐일레븐,강서중앙점,서울특별시 강서구 공항대로46길 35,0,0
CU,강서스타점,서울특별시 강서구 강서로54길 90,1,0
CU,화곡삼성점,서울특별시 강서구 국회대로7길 101,1,0
CU,화곡트윈캐슬점,서울특별시 강서구 초록마을로 71,1,0
CU,마곡한솔점,서울특별시 강서구 양천로30길 77,1,0
CU,가양휴먼빌점,서울특별시 강서구 양천로57길 13,0,0
GS25,마곡에이스점,서울특별시 강서구 마곡동로 61,0,0
CU,마곡더랜드점,서울특별시 강서구 마곡중앙로 161-8,0,0
