상호명,지점명,도로명주소,경도,위도
CU,강서태양점,서울특별시 강서구 강서로18길 146,126.8522758,37.5351969
세븐일레븐,화곡수명점,서울특별시 강서구 강서로33길 103,126.8367833,37.5413251
세븐일레븐,강서내발산길점,서울특별시 강서구 강서로45라길 35,126.83415407820458,37.549464
CU,수명파크점,서울특별시 강서구 수명로1길 110,126.8255085,37.5536454
CU,마곡아르디에점,서울특별시 강서구 강서로 423,126.838587,37.5596089
GS25,등촌스타점,서울특별시 강서구 등촌로39길 6,126.8590883,37.5469307
CU,우장산역점,서울특별시 강서구 강서로 251,126.838587,37.5596089
CU,방화진흥점,서울특별시 강서구 초원로 30,126.8091483,37.5677926
세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡로31길 22,126.8404758,37.5444787
GS25,염창사랑점,서울특별시 강서구 양천로73길 80,126.8732382,37.551736
CU,등촌두산점,서울특별시 강서구 양천로 564,126.861382977526,37.557135450000004
세븐일레븐,방화점,서울특별시 강서구 금낭화로 146,126.8122948,37.5761896
CU,마곡푸르지오점,서울특별시 강서구 마곡중앙6로 10,126.833454,37.5603397
CU,방화또오기점,서울특별시 강서구 초원로16길 24,126.8151716,37.5651174
CU,염창태진점,서울특별시 강서구 양천로 698,126.8781594,37.5488695
세븐일레븐,화곡곰달래지점,서울특별시 강서구 곰달래로 104,126.8548343,37.5312794
미니스톱,가양대교점,서울특별시 강서구 양천로 492,126.85460682781894,37.5608976
세븐일레븐,강서등촌점,서울특별시 강서구 공항대로41길 43,126.84558109628469,37.5599215
GS25,마곡파크뷰점,서울특별시 강서구 마곡중앙6로 85,126.833454,37.5603397
GS25,마곡시티점,서울특별시 강서구 마곡서로 170,126.8243108,37.5634278
세븐일레븐,등촌역점,서울특별시 강서구 등촌로 229-1,126.8639552,37.5515987
CU,수명산7단지점,서울특별시 강서구 수명로2가길 22,126.82243748195583,37.54785955
GS25,화곡대원점,서울특별시 강서구 화곡로21길 87,126.83655,37.5429499
CU,나눔방화점,서울특별시 강서구 방화대로37길 15,126.8153687,37.5699191
CU,공항단지점,서울특별시 강서구 방화대로6바길 4,126.8191598,37.554726200000005
세븐일레븐,마곡럭스점,서울특별시 강서구 마곡서로 168,126.8243108,37.5634278
GS25,강서IT밸리점,서울특별시 강서구 화곡로68길 82,126.8589126,37.557558
세븐일레븐,공항시장점,서울특별시 강서구 방화동로5길 24,126.8099205,37.5644587
GS25,화곡풀향기점,서울특별시 강서구 강서로35길 8,126.8359534,37.5426429
GS25,방화대림점,서울특별시 강서구 양천로6길 57,126.80824189281098,37.57008675
CU,화곡에스점,서울특별시 강서구 강서로5나길 117,126.8437594,37.5284255
CU,화곡이슬점,서울특별시 강서구 곰달래로24길 19,126.847149,37.529639
세븐일레븐,강서등촌로점,서울특별시 강서구 등촌로51길 47,126.8607811,37.5493432
CU,화곡PMK점,서울특별시 강서구 곰달래로 77,126.8548343,37.5312794
GS25,강서부영점,서울특별시 강서구 강서로56나길 110,126.84365649180495,37.564216200000004
이마트24,발산현대점,서울특별시 강서구 남부순환로19길 81,126.82428745,37.547085550000006
CU,화곡대원점,서울특별시 강서구 화곡로21길 43,126.83655,37.5429499
GS25,마곡일성점,서울특별시 강서구 마곡중앙로 161-22,126.8273842,37.5631274
세븐일레븐,염창점,서울특별시 강서구 양천로69길 11,126.8720968,37.5548311
