"동별(1)","동별(2)","동별(3)",연령별(1),연령별(2),성별(1),2021
"합계","강서구","염창동",합계,9세미만,계,32
"합계","강서구","염창동",합계,10~19세,계,48
"합계","강서구","염창동",합계,20~29세,계,44
"합계","강서구","염창동",합계,30~39세,계,59
"합계","강서구","염창동",합계,40~49세,계,99
"합계","강서구","염창동",합계,50~59세,계,128
"합계","강서구","염창동",합계,60~69세,계,227
"합계","강서구","염창동",합계,70~79세,계,232
"합계","강서구","염창동",합계,80세이상,계,178
"합계","강서구","등촌1동",합계,9세미만,계,9
"합계","강서구","등촌1동",합계,10~19세,계,15
"합계","강서구","등촌1동",합계,20~29세,계,38
"합계","강서구","등촌1동",합계,30~39세,계,54
"합계","강서구","등촌1동",합계,40~49세,계,63
"합계","강서구","등촌1동",합계,50~59세,계,84
"합계","강서구","등촌1동",합계,60~69세,계,162
"합계","강서구","등촌1동",합계,70~79세,계,136
"합계","강서구","등촌1동",합계,80세이상,계,183
"합계","강서구","등촌2동",합계,9세미만,계,11
"합계","강서구","등촌2동",합계,10~19세,계,15
"합계","강서구","등촌2동",합계,20~29세,계,23
"합계","강서구","등촌2동",합계,30~39세,계,40
"합계","강서구","등촌2동",합계,40~49세,계,57
"합계","강서구","등촌2동",합계,50~59세,계,98
"합계","강서구","등촌2동",합계,60~69세,계,170
"합계","강서구","등촌2동",합계,70~79세,계,163
"합계","강서구","등촌2동",합계,80세이상,계,133
"합계","강서구","등촌3동",합계,9세미만,계,11
"합계","강서구","등촌3동",합계,10~19세,계,30
"합계","강서구","등촌3동",합계,20~29세,계,111
"합계","강서구","등촌3동",합계,30~39세,계,141
"합계","강서구","등촌3동",합계,40~49세,계,247
"합계","강서구","등촌3동",합계,50~59세,계,757
"합계","강서구","등촌3동",합계,60~69세,계,1151
"합계","강서구","등촌3동",합계,70~79세,계,726
"합계","강서구","등촌3동",합계,80세이상,계,540
"합계","강서구","화곡본동",합계,9세미만,계,18
"합계","강서구","화곡본동",합계,10~19세,계,35
"합계","강서구","화곡본동",합계,20~29세,계,54
"합계","강서구","화곡본동",합계,30~39세,계,93
"합계","강서구","화곡본동",합계,40~49세,계,151
"합계","강서구","화곡본동",합계,50~59세,계,231
"합계","강서구","화곡본동",합계,60~69세,계,351
"합계","강서구","화곡본동",합계,70~79세,계,288
"합계","강서구","화곡본동",합계,80세이상,계,181
"합계","강서구","화곡2동",합계,9세미만,계,16
"합계","강서구","화곡2동",합계,10~19세,계,15
"합계","강서구","화곡2동",합계,20~29세,계,31
"합계","강서구","화곡2동",합계,30~39세,계,38
"합계","강서구","화곡2동",합계,40~49세,계,75
"합계","강서구","화곡2동",합계,50~59세,계,137
"합계","강서구","화곡2동",합계,60~69세,계,178
"합계","강서구","화곡2동",합계,70~79세,계,174
"합계","강서구","화곡2동",합계,80세이상,계,91
"합계","강서구","화곡3동",합계,9세미만,계,5
"합계","강서구","화곡3동",합계,10~19세,계,14
"합계","강서구","화곡3동",합계,20~29세,계,27
"합계","강서구","화곡3동",합계,30~39세,계,41
"합계","강서구","화곡3동",합계,40~49세,계,63
"합계","강서구","화곡3동",합계,50~59세,계,106
"합계","강서구","화곡3동",합계,60~69세,계,217
"합계","강서구","화곡3동",합계,70~79세,계,213
"합계","강서구","화곡3동",합계,80세이상,계,134
"합계","강서구","화곡4동",합계,9세미만,계,13
"합계","강서구","화곡4동",합계,10~19세,계,15
"합계","강서구","화곡4동",합계,20~29세,계,33
"합계","강서구","화곡4동",합계,30~39세,계,50
"합계","강서구","화곡4동",합계,40~49세,계,96
"합계","강서구","화곡4동",합계,50~59세,계,177
"합계","강서구","화곡4동",합계,60~69세,계,247
"합계","강서구","화곡4동",합계,70~79세,계,217
"합계","강서구","화곡4동",합계,80세이상,계,151
"합계","강서구","화곡6동",합계,9세미만,계,11
"합계","강서구","화곡6동",합계,10~19세,계,20
"합계","강서구","화곡6동",합계,20~29세,계,57
"합계","강서구","화곡6동",합계,30~39세,계,69
"합계","강서구","화곡6동",합계,40~49세,계,110
"합계","강서구","화곡6동",합계,50~59세,계,151
"합계","강서구","화곡6동",합계,60~69세,계,240
"합계","강서구","화곡6동",합계,70~79세,계,193
"합계","강서구","화곡6동",합계,80세이상,계,118
"합계","강서구","화곡8동",합계,9세미만,계,12
"합계","강서구","화곡8동",합계,10~19세,계,21
"합계","강서구","화곡8동",합계,20~29세,계,43
"합계","강서구","화곡8동",합계,30~39세,계,47
"합계","강서구","화곡8동",합계,40~49세,계,84
"합계","강서구","화곡8동",합계,50~59세,계,149
"합계","강서구","화곡8동",합계,60~69세,계,255
"합계","강서구","화곡8동",합계,70~79세,계,271
"합계","강서구","화곡8동",합계,80세이상,계,158
"합계","강서구","가양1동",합계,9세미만,계,13
"합계","강서구","가양1동",합계,10~19세,계,23
"합계","강서구","가양1동",합계,20~29세,계,42
"합계","강서구","가양1동",합계,30~39세,계,75
"합계","강서구","가양1동",합계,40~49세,계,88
"합계","강서구","가양1동",합계,50~59세,계,110
"합계","강서구","가양1동",합계,60~69세,계,194
"합계","강서구","가양1동",합계,70~79세,계,132
"합계","강서구","가양1동",합계,80세이상,계,119
"합계","강서구","가양2동",합계,9세미만,계,7
"합계","강서구","가양2동",합계,10~19세,계,20
"합계","강서구","가양2동",합계,20~29세,계,61
"합계","강서구","가양2동",합계,30~39세,계,79
"합계","강서구","가양2동",합계,40~49세,계,141
"합계","강서구","가양2동",합계,50~59세,계,442
"합계","강서구","가양2동",합계,60~69세,계,894
"합계","강서구","가양2동",합계,70~79세,계,458
"합계","강서구","가양2동",합계,80세이상,계,314
"합계","강서구","가양3동",합계,9세미만,계,2
"합계","강서구","가양3동",합계,10~19세,계,14
"합계","강서구","가양3동",합계,20~29세,계,35
"합계","강서구","가양3동",합계,30~39세,계,60
"합계","강서구","가양3동",합계,40~49세,계,115
"합계","강서구","가양3동",합계,50~59세,계,279
"합계","강서구","가양3동",합계,60~69세,계,511
"합계","강서구","가양3동",합계,70~79세,계,392
"합계","강서구","가양3동",합계,80세이상,계,252
"합계","강서구","발산1동",합계,9세미만,계,26
"합계","강서구","발산1동",합계,10~19세,계,43
"합계","강서구","발산1동",합계,20~29세,계,49
"합계","강서구","발산1동",합계,30~39세,계,73
"합계","강서구","발산1동",합계,40~49세,계,121
"합계","강서구","발산1동",합계,50~59세,계,265
"합계","강서구","발산1동",합계,60~69세,계,367
"합계","강서구","발산1동",합계,70~79세,계,319
"합계","강서구","발산1동",합계,80세이상,계,227
"합계","강서구","공항동",합계,9세미만,계,28
"합계","강서구","공항동",합계,10~19세,계,24
"합계","강서구","공항동",합계,20~29세,계,50
"합계","강서구","공항동",합계,30~39세,계,83
"합계","강서구","공항동",합계,40~49세,계,131
"합계","강서구","공항동",합계,50~59세,계,219
"합계","강서구","공항동",합계,60~69세,계,336
"합계","강서구","공항동",합계,70~79세,계,263
"합계","강서구","공항동",합계,80세이상,계,181
"합계","강서구","방화1동",합계,9세미만,계,28
"합계","강서구","방화1동",합계,10~19세,계,52
"합계","강서구","방화1동",합계,20~29세,계,53
"합계","강서구","방화1동",합계,30~39세,계,86
"합계","강서구","방화1동",합계,40~49세,계,160
"합계","강서구","방화1동",합계,50~59세,계,257
"합계","강서구","방화1동",합계,60~69세,계,424
"합계","강서구","방화1동",합계,70~79세,계,412
"합계","강서구","방화1동",합계,80세이상,계,283
"합계","강서구","방화2동",합계,9세미만,계,9
"합계","강서구","방화2동",합계,10~19세,계,15
"합계","강서구","방화2동",합계,20~29세,계,54
"합계","강서구","방화2동",합계,30~39세,계,80
"합계","강서구","방화2동",합계,40~49세,계,132
"합계","강서구","방화2동",합계,50~59세,계,250
"합계","강서구","방화2동",합계,60~69세,계,426
"합계","강서구","방화2동",합계,70~79세,계,364
"합계","강서구","방화2동",합계,80세이상,계,275
"합계","강서구","방화3동",합계,9세미만,계,8
"합계","강서구","방화3동",합계,10~19세,계,21
"합계","강서구","방화3동",합계,20~29세,계,42
"합계","강서구","방화3동",합계,30~39세,계,69
"합계","강서구","방화3동",합계,40~49세,계,139
"합계","강서구","방화3동",합계,50~59세,계,305
