상호명_x,지점명_x,도로명주소,단차/계단,확인불가,상호명_y,지점명_y,경도,위도
CU,강서태양점,서울특별시 강서구 강서로18길 146,1,0,CU,강서태양점,126.8522758,37.5351969
세븐일레븐,화곡수명점,서울특별시 강서구 강서로33길 103,1,0,세븐일레븐,화곡수명점,126.8367833,37.5413251
CU,우장산역점,서울특별시 강서구 강서로 251,1,0,CU,우장산역점,126.838587,37.5596089
세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡로31길 22,1,0,세븐일레븐,화곡우장산숲점,126.8404758,37.5444787
GS25,염창사랑점,서울특별시 강서구 양천로73길 80,1,0,GS25,염창사랑점,126.8732382,37.551736
CU,방화또오기점,서울특별시 강서구 초원로16길 24,1,0,CU,방화또오기점,126.8151716,37.5651174
CU,염창태진점,서울특별시 강서구 양천로 698,1,0,CU,염창태진점,126.8781594,37.5488695
미니스톱,가양대교점,서울특별시 강서구 양천로 492,1,0,미니스톱,가양대교점,126.85460682781894,37.5608976
세븐일레븐,공항시장점,서울특별시 강서구 방화동로5길 24,1,0,세븐일레븐,공항시장점,126.8099205,37.5644587
GS25,화곡풀향기점,서울특별시 강서구 강서로35길 8,1,0,GS25,화곡풀향기점,126.8359534,37.5426429
CU,화곡이슬점,서울특별시 강서구 곰달래로24길 19,1,0,CU,화곡이슬점,126.847149,37.529639
이마트24,발산현대점,서울특별시 강서구 남부순환로19길 81,1,0,이마트24,발산현대점,126.82428745,37.547085550000006
GS25,강서사랑점,서울특별시 강서구 화곡로58길 8,1,0,GS25,강서사랑점,126.8543222,37.5525451
GS25,화곡풍년점,서울특별시 강서구 곰달래로 61,1,0,GS25,화곡풍년점,126.8548343,37.5312794
GS25,방화상춘점,서울특별시 강서구 금낭화로19길 26,1,0,GS25,방화상춘점,126.8108588,37.575611
CU,SK가양주유소점,서울특별시 강서구 강서로 498,1,3,CU,SK가양주유소점,126.838587,37.5596089
GS25,공항제일점,서울특별시 강서구 송정로4길 46,1,0,GS25,공항제일점,126.814114,37.5581449
CU,발산진흥점,서울특별시 강서구 강서로47길 67,1,0,CU,발산진흥점,126.8324336,37.552898850000005
미니스톱,까치산점,서울특별시 강서구 강서로7길 19,1,0,미니스톱,까치산점,126.8448368,37.5293488
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,1,0,세븐일레븐,강서등마루점,126.8538698,37.5583189
