시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호,위도,경도
교남소망의집,C0246,(장애인) 장애유형별거주시설,장애인거주시설,자치구,권나영,1150000000,강서구,서울특별시 강서구 까치산로22길 38-0,58,57,02-2602-3880,157913,37.5488137,126.8519996
임마누엘화곡1공동체,C1543,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1150000000,강서구,서울특별시 강서구 등촌로13다길 22-7 (화곡동),4,4,02-3665-3831,7739,37.535572,126.8587021
임마누엘화곡공동체,C1544,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1150000000,강서구,"서울특별시 강서구 강서로10길 108301호 (화곡동, 소망빌라)",4,4,02-3665-3831,7782,37.5307444,126.8537509
임마누엘등촌1공동체,C1545,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1150000000,강서구,"서울특별시 강서구 화곡로66길 145-15A동 201호 (등촌동, 원상하이빌)",4,4,02-3665-3831,7565,37.5583189,126.8538698
교남공동생활가정4호,C1681,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,서울특별시 강서구 까치산로8길 44301호,4,4,02-2698-3880,7722,37.541614,126.8459115
교남공동생활가정1호,C1684,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,서울특별시 강서구 까치산로16길 21301호,4,4,02-2602-3880,7674,37.5460405,126.8487294
교남공동생활가정5호,C1688,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,서울특별시 강서구 화곡로31길 5-6201호,4,3,02-2698-9461,7700,37.5444787,126.8404758
우리집,C1993,(장애인) 장애인단기거주시설,장애인거주시설,자치구,원순주,1150000000,강서구,서울특별시 강서구 양천로47길 70-6,10,10,02-2658-7503,7522,37.576279,126.8372549
나눔공동체,C2033,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김한덕,1150000000,강서구,서울특별시 강서구 등촌로13바길 59,4,4,02-6405-0302,7738,37.5374109,126.8575827
선린원,C2034,(장애인) 장애인단기거주시설,장애인거주시설,자치구,장흥섭,1150000000,강서구,서울특별시 강서구 까치산로22길 35-5,10,10,02-2654-3372,7662,37.5488137,126.8519996
