dong_1,dong_2,dong_3,age_1,age_2,num
합계,강서구,염창동,합계,9세미만,32
합계,강서구,염창동,합계,10~19세,48
합계,강서구,염창동,합계,20~29세,44
합계,강서구,염창동,합계,30~39세,59
합계,강서구,염창동,합계,40~49세,99
합계,강서구,염창동,합계,50~59세,128
합계,강서구,염창동,합계,60~69세,227
합계,강서구,염창동,합계,70~79세,232
합계,강서구,염창동,합계,80세이상,178
합계,강서구,등촌1동,합계,9세미만,9
합계,강서구,등촌1동,합계,10~19세,15
합계,강서구,등촌1동,합계,20~29세,38
합계,강서구,등촌1동,합계,30~39세,54
합계,강서구,등촌1동,합계,40~49세,63
합계,강서구,등촌1동,합계,50~59세,84
합계,강서구,등촌1동,합계,60~69세,162
합계,강서구,등촌1동,합계,70~79세,136
합계,강서구,등촌1동,합계,80세이상,183
합계,강서구,등촌2동,합계,9세미만,11
합계,강서구,등촌2동,합계,10~19세,15
합계,강서구,등촌2동,합계,20~29세,23
합계,강서구,등촌2동,합계,30~39세,40
합계,강서구,등촌2동,합계,40~49세,57
합계,강서구,등촌2동,합계,50~59세,98
합계,강서구,등촌2동,합계,60~69세,170
합계,강서구,등촌2동,합계,70~79세,163
합계,강서구,등촌2동,합계,80세이상,133
합계,강서구,등촌3동,합계,9세미만,11
합계,강서구,등촌3동,합계,10~19세,30
합계,강서구,등촌3동,합계,20~29세,111
합계,강서구,등촌3동,합계,30~39세,141
합계,강서구,등촌3동,합계,40~49세,247
합계,강서구,등촌3동,합계,50~59세,757
합계,강서구,등촌3동,합계,60~69세,1151
합계,강서구,등촌3동,합계,70~79세,726
합계,강서구,등촌3동,합계,80세이상,540
합계,강서구,화곡본동,합계,9세미만,18
합계,강서구,화곡본동,합계,10~19세,35
합계,강서구,화곡본동,합계,20~29세,54
합계,강서구,화곡본동,합계,30~39세,93
합계,강서구,화곡본동,합계,40~49세,151
합계,강서구,화곡본동,합계,50~59세,231
합계,강서구,화곡본동,합계,60~69세,351
합계,강서구,화곡본동,합계,70~79세,288
합계,강서구,화곡본동,합계,80세이상,181
합계,강서구,화곡2동,합계,9세미만,16
합계,강서구,화곡2동,합계,10~19세,15
합계,강서구,화곡2동,합계,20~29세,31
합계,강서구,화곡2동,합계,30~39세,38
합계,강서구,화곡2동,합계,40~49세,75
합계,강서구,화곡2동,합계,50~59세,137
합계,강서구,화곡2동,합계,60~69세,178
합계,강서구,화곡2동,합계,70~79세,174
합계,강서구,화곡2동,합계,80세이상,91
합계,강서구,화곡3동,합계,9세미만,5
합계,강서구,화곡3동,합계,10~19세,14
합계,강서구,화곡3동,합계,20~29세,27
합계,강서구,화곡3동,합계,30~39세,41
합계,강서구,화곡3동,합계,40~49세,63
합계,강서구,화곡3동,합계,50~59세,106
합계,강서구,화곡3동,합계,60~69세,217
합계,강서구,화곡3동,합계,70~79세,213
합계,강서구,화곡3동,합계,80세이상,134
합계,강서구,화곡4동,합계,9세미만,13
합계,강서구,화곡4동,합계,10~19세,15
합계,강서구,화곡4동,합계,20~29세,33
합계,강서구,화곡4동,합계,30~39세,50
합계,강서구,화곡4동,합계,40~49세,96
합계,강서구,화곡4동,합계,50~59세,177
합계,강서구,화곡4동,합계,60~69세,247
합계,강서구,화곡4동,합계,70~79세,217
합계,강서구,화곡4동,합계,80세이상,151
합계,강서구,화곡6동,합계,9세미만,11
합계,강서구,화곡6동,합계,10~19세,20
합계,강서구,화곡6동,합계,20~29세,57
합계,강서구,화곡6동,합계,30~39세,69
합계,강서구,화곡6동,합계,40~49세,110
합계,강서구,화곡6동,합계,50~59세,151
합계,강서구,화곡6동,합계,60~69세,240
합계,강서구,화곡6동,합계,70~79세,193
합계,강서구,화곡6동,합계,80세이상,118
