상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
20698098,CU,강서태양점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150055000,화곡2동,1150010300,화곡동,1.15E+18,1,대지,161,2,서울특별시 강서구 화곡동 161-2,1.15E+11,서울특별시 강서구 강서로18길,146,,1.15E+24,베스트힐타운,서울특별시 강서구 강서로18길 146,157010,7745,,1,,126.853607,37.53512526
24269630,세븐일레븐,화곡수명점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150056000,화곡3동,1150010300,화곡동,1.15E+18,1,대지,1068,,서울특별시 강서구 화곡동 1068,1.15E+11,서울특별시 강서구 강서로33길,103,,1.15E+24,,서울특별시 강서구 강서로33길 103,157924,7711,,1,,126.8342201,37.54052187
24218680,세븐일레븐,강서내발산길점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1.15E+18,1,대지,716,24,서울특별시 강서구 내발산동 716-24,1.15E+11,서울특별시 강서구 강서로45라길,35,,1.15E+24,신약국,서울특별시 강서구 강서로45라길 35,157835,7638,,1,,126.834082,37.54938668
28524181,CU,수명파크점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1.15E+18,1,대지,751,,서울특별시 강서구 내발산동 751,1.15E+11,서울특별시 강서구 수명로1길,110,,1.15E+24,마곡수명산파크3단지아파트,서울특별시 강서구 수명로1길 110,157933,7643,,1,,126.824639,37.55185198
11719625,CU,마곡아르디에점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,784,13,서울특별시 강서구 마곡동 784-13,1.15E+11,서울특별시 강서구 강서로,423,,1.15E+24,아르디에,서울특별시 강서구 강서로 423,157210,7792,,1,,126.8393406,37.56349459
14974657,이마트,24강서내발산점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1.15E+18,1,대지,697,6,서울특별시 강서구 내발산동 697-6,1.15E+11,서울특별시 강서구 강서로47다길,20,,1.15E+24,,서울특별시 강서구 강서로47다길 20,157831,7638,,1,,126.8341097,37.55197291
26003806,GS25등촌스타점,등촌스타점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1.15E+18,1,대지,512,7,서울특별시 강서구 등촌동 512-7,1.15E+11,서울특별시 강서구 등촌로39길,6,,1.15E+24,한산교회,서울특별시 강서구 등촌로39길 6,157030,7668,,1,,126.8620021,37.54557739
16098527,CU,우장산역점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1.15E+18,1,대지,723,9,서울특별시 강서구 내발산동 723-9,1.15E+11,서울특별시 강서구 강서로,251,,1.15E+24,세란빌딩,서울특별시 강서구 강서로 251,157835,7639,,1,,126.836003,37.54811715
16173297,썬플러스,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1.15E+18,1,대지,75,1,서울특별시 강서구 등촌동 75-1,1.15E+11,서울특별시 강서구 양천로,482,,1.15E+24,삼부르네상스오피스텔,서울특별시 강서구 양천로 482,157033,7575,,,,126.8539086,37.56124918
26283264,CU방화진흥점,방화진흥점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900,방화동,1.15E+18,1,대지,585,4,서울특별시 강서구 방화동 585-4,1.15E+11,서울특별시 강서구 초원로,30,,1.15E+24,삼미아파트,서울특별시 강서구 초원로 30,157220,7613,,1,,126.8084314,37.56757466
24657154,예스플러스강서화곡점,강서화곡점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1.15E+18,1,대지,786,7,서울특별시 강서구 화곡동 786-7,1.15E+11,서울특별시 강서구 국회대로7길,6,,1.15E+24,,서울특별시 강서구 국회대로7길 6,157010,7786,,1,,126.8606447,37.5299223
12093649,365플러스편의점화곡우리점,화곡우리점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1.15E+18,1,대지,934,22,서울특별시 강서구 화곡동 934-22,1.15E+11,서울특별시 강서구 월정로16길,1,,1.15E+24,,서울특별시 강서구 월정로16길 1,157010,7780,,1,,126.8398488,37.52779161
20590971,세븐일레븐,화곡우장산숲점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061500,우장산동,1150010300,화곡동,1.15E+18,1,대지,1059,28,서울특별시 강서구 화곡동 1059-28,1.15E+11,서울특별시 강서구 화곡로31길,22,,1.15E+24,,서울특별시 강서구 화곡로31길 22,157873,7696,,1,,126.8421737,37.54425833
26001734,GS25,염창사랑점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1.15E+18,1,대지,293,,서울특별시 강서구 염창동 293,1.15E+11,서울특별시 강서구 양천로73길,80,,1.15E+24,한강동아아파트,서울특별시 강서구 양천로73길 80,157798,7537,,,,126.8741386,37.55424457
20799057,CU,등촌두산점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1.15E+18,1,대지,631,,서울특별시 강서구 등촌동 631,1.15E+11,서울특별시 강서구 양천로,564,,1.15E+24,두산위브센티움,서울특별시 강서구 양천로 564,157030,7551,,,,126.8615549,37.55712434
24319365,세븐일레븐,방화점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150064100,방화3동,1150010900,방화동,1.15E+18,1,대지,830,,서울특별시 강서구 방화동 830,1.15E+11,서울특별시 강서구 금낭화로,146,,1.15E+24,오피앙,서울특별시 강서구 금낭화로 146,157220,7511,,1,,126.813289,37.57818364
12341991,CU,마곡푸르지오점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,773,1,서울특별시 강서구 마곡동 773-1,1.15E+11,서울특별시 강서구 마곡중앙6로,10,,1.15E+24,마곡역센트럴푸르지오시티,서울특별시 강서구 마곡중앙6로 10,157805,7801,1,,,126.8281723,37.56037482
12441787,CU,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1.15E+18,1,대지,608,140,서울특별시 강서구 방화동 608-140,1.15E+11,서울특별시 강서구 초원로16길,24,,1.15E+24,,서울특별시 강서구 초원로16길 24,157852,7616,,1,,126.8150485,37.56645191
26007118,SK네트웍스해바라기,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300,화곡동,1.15E+18,1,대지,20,1,서울특별시 강서구 화곡동 20-1,1.15E+11,서울특별시 강서구 화곡로,273,,1.15E+24,해바라기주유소,서울특별시 강서구 화곡로 273,157010,7689,,1,,126.8469511,37.54926978
25454156,CU,염창태진점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1.15E+18,1,대지,264,13,서울특별시 강서구 염창동 264-13,1.15E+11,서울특별시 강서구 양천로,698,,1.15E+24,한영빌딩,서울특별시 강서구 양천로 698,157862,7555,,1,,126.873299,37.54987555
5315224,세븐일레븐화곡곰달래지점,화곡곰달래지점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1.15E+18,1,대지,918,21,서울특별시 강서구 화곡동 918-21,1.15E+11,서울특별시 강서구 곰달래로,104,,1.15E+24,기룡빌딩,서울특별시 강서구 곰달래로 104,157010,7777,,1,,126.844313,37.53029522
19977896,미니스톱,가양대교점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1.15E+18,1,대지,78,7,서울특별시 강서구 등촌동 78-7,1.15E+11,서울특별시 강서구 양천로,492,,1.15E+24,길훈엔트런스빌,서울특별시 강서구 양천로 492,157030,7575,,1,,126.854548,37.56088596
3811735,세븐일레븐강서등촌점,강서등촌점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1.15E+18,1,대지,696,1,서울특별시 강서구 등촌동 696-1,1.15E+11,서울특별시 강서구 공항대로41길,43,,1.15E+24,새한프라자,서울특별시 강서구 공항대로41길 43,157030,7586,,1,,126.8455197,37.55989699
12328753,GS25,마곡파크뷰점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,795,5,서울특별시 강서구 마곡동 795-5,1.15E+11,서울특별시 강서구 마곡중앙6로,85,,1.15E+24,마곡사이언스파크뷰,서울특별시 강서구 마곡중앙6로 85,157805,7803,,,,126.8368558,37.56023543
12421798,GS25,마곡시티점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,758,,서울특별시 강서구 마곡동 758,1.15E+11,서울특별시 강서구 마곡서로,170,,1.15E+24,마곡시티오피스텔,서울특별시 강서구 마곡서로 170,157805,7788,,1,,126.8254517,37.56929501
23221481,세븐일레븐등촌역점,등촌역점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1.15E+18,1,대지,507,1,서울특별시 강서구 등촌동 507-1,1.15E+11,서울특별시 강서구 등촌로,229,1,1.15E+24,소망교회,서울특별시 강서구 등촌로 229-1,157030,7665,,1,,126.8634584,37.5502768
25475510,CU,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1.15E+18,1,대지,65,20,서울특별시 강서구 등촌동 65-20,1.15E+11,서울특별시 강서구 양천로,460,,1.15E+24,미산부인과,서울특별시 강서구 양천로 460,157030,7575,,1,,126.8516812,37.56257007
12339759,"C,U정원점",,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300,화곡동,1.15E+18,1,대지,1115,8,서울특별시 강서구 화곡동 1115-8,1.15E+11,서울특별시 강서구 공항대로46길,57,,1.15E+24,정원빌딩,서울특별시 강서구 공항대로46길 57,157928,7654,,1,,126.8520014,37.55349979
15994084,CU,수명산7단지점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1.15E+18,1,대지,756,,서울특별시 강서구 내발산동 756,1.15E+11,서울특별시 강서구 수명로2가길,22,,1.15E+24,마곡수명산파크7단지아파트,서울특별시 강서구 수명로2가길 22,157936,7642,,1,,126.8218768,37.5475896
22497539,GS25화곡대원점,화곡대원점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,11,서울특별시,11500,강서구,1150056000,화곡3동,1150010300,화곡동,1.15E+18,1,대지,1021,,서울특별시 강서구 화곡동 1021,1.15E+11,서울특별시 강서구 화곡로21길,87,,1.15E+24,해온빌딩,서울특별시 강서구 화곡로21길 87,157010,7708,,1,,126.835898,37.54468318
