시설명,시군구명,소재지도로명주소,위도,경도,설치장소설명,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부
누리장애인자립생활센터,강서구,"서울특별시 강서구 방화동로 126 (방화동, 삼정아파트)",37.57195372,126.8119256,지하1층,2,Y,Y
강서뇌성마비복지관,강서구,서울특별시 강서구 방화대로45길 69 (방화동),37.57420914,126.812581,지하2층,2,Y,Y
강서뇌성마비복지관,강서구,서울특별시 강서구 방화대로45길 69 (방화동),37.57420914,126.812581,5층,2,Y,Y
기쁜우리체육센터,강서구,서울특별시 강서구 허준로 65 (가양동),37.569309,126.848694,1층,2,Y,Y
샬롬의집,강서구,서울특별시 강서구 방화대로7가길 11 (공항동),37.55688394,126.8156881,1층,2,Y,Y
남은자장애인자립생활센터,강서구,서울특별시 강서구 공항대로 164 (마곡동),37.55932597,126.8255148,710호,2,Y,Y
강서길라장애인자립생활센터,강서구,"서울특별시 강서구 양천로 551-24 (가양동, 한화비즈메트로2차)",37.55887046,126.8619586,502호,2,Y,Y
맑은장애인자립생활센터,강서구,서울특별시 강서구 강서로 466 (등촌동),37.56689857,126.8414259,우리벤처타운 201호,2,Y,Y
기쁜우리복지관,강서구,서울특별시 강서구 허준로 65 (가양동),37.56930927,126.8486944,1층 프론트,2,Y,Y
방화역,강서구,서울특별시 강서구 금낭화로 지하132 (방화동),37.577003,126.8126299,지하1층 계단 옆,2,Y,Y
개화산역,강서구,서울특별시 강서구 양천로 22 (방화동),37.57227002,126.8060017,지하1층 대합실 만남의장소 의자 옆,2,Y,Y
김포공항역,강서구,서울특별시 강서구 하늘길 지하77 (방화동),37.56214413,126.8015703,지하1층 자동발매기 앞 공간,2,Y,Y
마곡나루역,강서구,서울특별시 강서구 마곡중앙5로 지하2 (마곡동),37.566793,126.827518,지하1층 휴게공간,2,Y,Y
양천향교역,강서구,서울특별시 강서구 양천로 지하341 (가양동),37.568761,126.840818,지하1층 변전실 앞,2,Y,Y
가양역,강서구,서울특별시 강서구 양천로 지하485 (가양동),37.561554,126.854388,지하1층 엘리베이터 옆,2,Y,Y
가양역,강서구,서울특별시 강서구 양천로 지하485 (가양동),37.561554,126.854388,지하1층 중간계단부 용역대기실 앞,2,Y,Y
공항동주민센터,강서구,서울특별시 강서구 송정로 45 (공항동),37.55878281,126.8100743,1층,2,Y,Y
발산1동주민센터,강서구,서울특별시 강서구 강서로47길 54 (내발산동),37.5531163,126.8331774,1층,2,Y,Y
강서구청 별관 복지지원센터,강서구,서울특별시 강서구 화곡로 302 (화곡동),37.55096551,126.8495322,1층,1,N,N
강서구보건소,강서구,서울특별시 강서구 공항대로 561 (염창동),37.5496484,126.8682802,1층,2,Y,Y
가양7종합사회복지관,강서구,"서울특별시 강서구 허준로 209 (가양동, 가양7단지아파트)",37.56173898,126.8615915,1층,2,Y,Y
등촌1종합사회복지관,강서구,"서울특별시 강서구 강서로68길 36 (등촌동, 등촌주공1,2단지아파트)",37.56538683,126.8422565,1층,2,Y,Y
등촌7종합사회복지관,강서구,"서울특별시 강서구 공항대로43길 104 (등촌동, 등촌주공7,8단지아파트)",37.56023933,126.8516942,1층,2,Y,Y
방화2종합사회복지관,강서구,"서울특별시 강서구 방화대로48길 40 (방화동, 방화2단지아파트)",37.57424482,126.8201671,1층,2,Y,Y
강서구립봉제산어르신복지센터,강서구,서울특별시 강서구 초록마을로15길 12 (화곡동),37.54152282,126.8514079,1층,2,Y,Y
겸재정선미술관,강서구,서울특별시 강서구 양천로47길 36 (가양동),37.57222297,126.838412,2층,2,Y,Y
등촌3동주민센터,강서구,서울특별시 강서구 화곡로63길 96 (등촌동),37.55888771,126.8479185,1층,2,Y,Y
가양4종합사회복지관,강서구,"서울특별시 강서구 양천로57길 37 (가양동, 가양4단지아파트)",37.56593184,126.8520692,1층,2,Y,Y
가양5종합사회복지관,강서구,"서울특별시 강서구 양천로57길 36 (가양동, 가양5단지아파트)",37.56462738,126.8535196,1층,2,Y,Y
등촌4종합사회복지관,강서구,"서울특별시 강서구 공항대로39길 59 (등촌동, 등촌4단지주공아파트)",37.56225915,126.8428951,1층,2,Y,Y
등촌9종합사회복지관,강서구,"서울특별시 강서구 화곡로63가길 92 (등촌동, 등촌9단지주공아파트)",37.5619516,126.8502091,1층,2,Y,Y
강서다솔장애인자립생활센터,강서구,"서울특별시 강서구 양천로57길 36 (가양동, 가양5단지아파트)",37.56462738,126.8535196,지하 106호,2,Y,Y
강서구 장애인단체 총연합회,강서구,서울특별시 강서구 공항대로 247 (마곡동),37.55931354,126.8352392,619호,2,N,N
허니장애인자립생활센터,강서구,서울특별시 강서구 공항대로 228 (마곡동),37.55863275,126.8326742,1002호,2,N,Y
행복을파는장사꾼,강서구,서울특별시 강서구 까치산로 134 (화곡동),37.5492806,126.8514125,3층,1,N,N
꿈장애인자립생활센터,강서구,"서울특별시 강서구 화곡로31다길 11 (화곡동, 윤탁아트리움아파트)",37.54479691,126.8381485,지상층,2,N,Y
장애여성인력개발센터,강서구,서울특별시 강서구 화곡로 346 (화곡동),37.55450913,126.8520186,2층,1,N,N
