,상호명,지점명,지번주소,도로명주소,경도,위도,단차/계단,확인불가
0,CU,강서태양점,서울특별시 강서구 화곡동 161-2,서울특별시 강서구 강서로18길 146,126.853607,37.53512526,1,0
1,세븐일레븐,화곡수명점,서울특별시 강서구 화곡동 1068,서울특별시 강서구 강서로33길 103,126.8342201,37.54052187,1,0
2,세븐일레븐,강서내발산길점,서울특별시 강서구 내발산동 716-24,서울특별시 강서구 강서로45라길 35,126.834082,37.54938668,0,0
3,CU,수명파크점,서울특별시 강서구 내발산동 751,서울특별시 강서구 수명로1길 110,126.824639,37.55185198,0,1
4,CU,마곡아르디에점,서울특별시 강서구 마곡동 784-13,서울특별시 강서구 강서로 423,126.8393406,37.56349459,0,1
5,GS25,등촌스타점,서울특별시 강서구 등촌동 512-7,서울특별시 강서구 등촌로39길 6,126.8620021,37.54557739,0,1
6,CU,우장산역점,서울특별시 강서구 내발산동 723-9,서울특별시 강서구 강서로 251,126.836003,37.54811715,1,0
7,CU,방화진흥점,서울특별시 강서구 방화동 585-4,서울특별시 강서구 초원로 30,126.8084314,37.56757466,0,2
8,세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡동 1059-28,서울특별시 강서구 화곡로31길 22,126.8421737,37.54425833,1,0
9,GS25,염창사랑점,서울특별시 강서구 염창동 293,서울특별시 강서구 양천로73길 80,126.8741386,37.55424457,1,0
10,CU,등촌두산점,서울특별시 강서구 등촌동 631,서울특별시 강서구 양천로 564,126.8615549,37.55712434,0,0
11,세븐일레븐,방화점,서울특별시 강서구 방화동 830,서울특별시 강서구 금낭화로 146,126.813289,37.57818364,0,0
12,CU,마곡푸르지오점,서울특별시 강서구 마곡동 773-1,서울특별시 강서구 마곡중앙6로 10,126.8281723,37.56037482,0,1
13,CU,방화또오기점,서울특별시 강서구 방화동 608-140,서울특별시 강서구 초원로16길 24,126.8150485,37.56645191,1,0
14,CU,염창태진점,서울특별시 강서구 염창동 264-13,서울특별시 강서구 양천로 698,126.873299,37.54987555,1,0
15,세븐일레븐,화곡곰달래지점,서울특별시 강서구 화곡동 918-21,서울특별시 강서구 곰달래로 104,126.844313,37.53029522,0,0
16,미니스톱,가양대교점,서울특별시 강서구 등촌동 78-7,서울특별시 강서구 양천로 492,126.854548,37.56088596,1,0
17,세븐일레븐,강서등촌점,서울특별시 강서구 등촌동 696-1,서울특별시 강서구 공항대로41길 43,126.8455197,37.55989699,0,2
18,GS25,마곡파크뷰점,서울특별시 강서구 마곡동 795-5,서울특별시 강서구 마곡중앙6로 85,126.8368558,37.56023543,0,0
19,세븐일레븐,등촌역점,서울특별시 강서구 등촌동 507-1,서울특별시 강서구 등촌로 229-1,126.8634584,37.5502768,0,0
20,CU,수명산7단지점,서울특별시 강서구 내발산동 756,서울특별시 강서구 수명로2가길 22,126.8218768,37.5475896,0,1
21,CU,나눔방화점,서울특별시 강서구 방화동 796,서울특별시 강서구 방화대로37길 15,126.8159877,37.57004743,0,0
22,CU,공항단지점,서울특별시 강서구 공항동 1359-9,서울특별시 강서구 방화대로6바길 4,126.8191162,37.55472522,0,0
23,세븐일레븐,마곡럭스점,서울특별시 강서구 마곡동 758-1,서울특별시 강서구 마곡서로 168,126.825525,37.56895334,0,0
24,GS25,강서IT밸리점,서울특별시 강서구 등촌동 638-3,서울특별시 강서구 화곡로68길 82,126.8582891,37.5575253,0,2
25,세븐일레븐,공항시장점,서울특별시 강서구 방화동 612-87,서울특별시 강서구 방화동로5길 24,126.8099734,37.56457177,0,2
26,GS25,화곡풀향기점,서울특별시 강서구 화곡동 1032-14,서울특별시 강서구 강서로35길 8,126.8384028,37.54296885,0,0
27,GS25,방화대림점,서울특별시 강서구 방화동 874,서울특별시 강서구 양천로6길 57,126.808015,37.56955272,1,0
28,CU,화곡에스점,서울특별시 강서구 화곡동 929-3,서울특별시 강서구 강서로5나길 117,126.8416197,37.52813337,1,0
29,CU,화곡이슬점,서울특별시 강서구 화곡동 898-7,서울특별시 강서구 곰달래로24길 19,126.8472176,37.52975595,0,2
30,세븐일레븐,강서등촌로점,서울특별시 강서구 등촌동 366-137,서울특별시 강서구 등촌로51길 47,126.8605885,37.54923097,0,3
31,CU,화곡PMK점,서울특별시 강서구 화곡동 425-13,서울특별시 강서구 곰달래로 77,126.8412799,37.5303556,1,0
32,GS25,강서부영점,서울특별시 강서구 등촌동 691-3,서울특별시 강서구 강서로56나길 110,126.8428267,37.56350178,0,2
