상호명,지점명,지번주소,도로명주소,경도,위도,단차/계단,확인불가
CU,강서태양점,서울특별시 강서구 화곡동 161-2,서울특별시 강서구 강서로18길 146,126.853607,37.53512526,1,0
세븐일레븐,화곡수명점,서울특별시 강서구 화곡동 1068,서울특별시 강서구 강서로33길 103,126.8342201,37.54052187,1,0
CU,우장산역점,서울특별시 강서구 내발산동 723-9,서울특별시 강서구 강서로 251,126.836003,37.54811715,1,0
세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡동 1059-28,서울특별시 강서구 화곡로31길 22,126.8421737,37.54425833,1,0
GS25,염창사랑점,서울특별시 강서구 염창동 293,서울특별시 강서구 양천로73길 80,126.8741386,37.55424457,1,0
CU,방화또오기점,서울특별시 강서구 방화동 608-140,서울특별시 강서구 초원로16길 24,126.8150485,37.56645191,1,0
CU,염창태진점,서울특별시 강서구 염창동 264-13,서울특별시 강서구 양천로 698,126.873299,37.54987555,1,0
미니스톱,가양대교점,서울특별시 강서구 등촌동 78-7,서울특별시 강서구 양천로 492,126.854548,37.56088596,1,0
GS25,방화대림점,서울특별시 강서구 방화동 874,서울특별시 강서구 양천로6길 57,126.808015,37.56955272,1,0
CU,화곡에스점,서울특별시 강서구 화곡동 929-3,서울특별시 강서구 강서로5나길 117,126.8416197,37.52813337,1,0
CU,화곡PMK점,서울특별시 강서구 화곡동 425-13,서울특별시 강서구 곰달래로 77,126.8412799,37.5303556,1,0
GS25,마곡일성점,서울특별시 강서구 마곡동 758-2,서울특별시 강서구 마곡중앙로 161-22,126.8257454,37.56861315,1,0
CU,마곡사이언스타워점,서울특별시 강서구 마곡동 796-3,서울특별시 강서구 마곡동로 62,126.8338743,37.5605394,1,0
세븐일레븐,강서공항중앙점,서울특별시 강서구 공항동 723,서울특별시 강서구 송정로 10,126.8123604,37.55609911,1,0
CU,SK가양주유소점,서울특별시 강서구 가양동 151-1,서울특별시 강서구 강서로 498,126.8419606,37.56972842,1,0
GS25,공항제일점,서울특별시 강서구 공항동 654,서울특별시 강서구 송정로4길 46,126.8134905,37.55834502,1,3
CU,발산진흥점,서울특별시 강서구 내발산동 687-1,서울특별시 강서구 강서로47길 67,126.8323865,37.55288395,1,0
세븐일레븐,가양프라자점,서울특별시 강서구 가양동 1488,서울특별시 강서구 허준로 198,126.8602462,37.56130152,1,0
세븐일레븐,강서등마루점,서울특별시 강서구 등촌동 643-10,서울특별시 강서구 화곡로66길 122,126.8597237,37.55548481,1,0
GS25,공항화물청사점,서울특별시 강서구 공항동 1373,서울특별시 강서구 하늘길 111,126.8033425,37.55877421,1,0
CU,방화오피스2호점,서울특별시 강서구 방화동 612-275,서울특별시 강서구 개화동로29길 14,126.8076154,37.56337664,1,0
CU,소나무공원점,서울특별시 강서구 화곡동 26-8,서울특별시 강서구 까치산로15길 17,126.8472467,37.54697503,1,0
